YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C
0.8620840	0.6309488	0.9999924	0.0000690	0.5752499	0.6930603	0.9997367	0.0104241	0.1976228	1.0000000
0.8648195	0.6290645	0.8199086	0.0169251	0.5073328	0.7406260	0.9568774	0.0104110	0.2082536	0.7350618
0.8311650	0.6634902	0.9925320	0.0648877	0.4671623	0.6089643	0.6139461	0.1812037	0.4349705	1.0000000
0.8756040	0.6168576	0.9999994	0.0003095	0.4274730	0.3477751	0.1977303	0.4181459	0.4625183	1.0000000
0.8312109	0.6638485	0.8795900	0.0646602	0.8956289	0.6766512	0.5270295	0.1514503	0.1313450	1.0000000
0.8552499	0.6380720	0.9925456	0.0648221	0.4992429	0.6324034	0.8176161	0.1013455	0.1637104	1.0000000
0.8270359	0.5339177	0.9359381	0.2205527	0.1029464	0.5109353	0.2569811	0.3271143	0.5544044	1.0000000
0.8780231	0.6146314	0.9983650	0.0278779	0.9922222	0.5788795	0.9571871	0.0677265	0.0826838	0.8290218
0.8312811	0.6638440	0.8304301	0.0000040	0.9631867	0.9306477	0.9983006	0.0205747	0.1457863	1.0000000
0.8706899	0.6220229	0.9976420	0.0341757	0.3794566	0.6658441	0.9295567	0.0045458	0.1366681	1.0000000
