YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C
0.0000000	0.3421457	0.5748248	0.5319635	0.1137059	0.0247927	0.1103984	0.8270031	0.4302569	0.6565656
0.0285639	0.0000000	0.7025018	0.4178939	0.0969973	0.0267309	0.2234495	0.7449469	0.3797222	0.5976909
0.0096188	0.0044104	0.0000000	0.4557112	0.0378211	0.0039458	0.2148484	0.6907778	0.2736608	0.6836391
0.7699411	0.3469612	0.5061391	0.0000000	0.2451972	0.0975011	0.1611130	0.7460534	0.5598033	0.7778231
0.7090107	0.3724154	0.5493170	0.5238578	0.0000000	0.0859455	0.2327359	0.6584703	0.3048333	0.7151460
0.6426123	0.4195091	0.6325846	0.5682064	0.0357928	0.0000000	0.2585221	0.5976879	0.3307835	0.7055983
0.7225103	0.4651013	0.6200421	0.6455567	0.0355698	0.0037560	0.0000000	0.7787687	0.3344361	0.7805216
0.0160101	0.0664148	0.0859323	0.4711266	0.0261778	0.0081327	0.7160366	0.0000000	0.4324066	0.8146630
0.6642569	0.3719380	0.4805002	0.4437329	0.2440255	0.0860174	0.1954348	0.6216395	0.0000000	0.6161063
0.7242930	0.3294664	0.3934081	0.3463787	0.4797822	0.3096943	0.4905324	0.4346140	0.5653645	0.0000000
