"Time"	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W

0	0.9206629	0.2118471	0.4253718	0.4466419	0.1584881	1.0000000	1.0000000	0.7032312	1.0000000	1.0000000
50	0.9201695	0.1960693	0.2832832	0.4584116	0.1584881	1.0000000	1.0000000	0.7032312	1.0000000	1.0000000
100	0.9104167	0.1515420	0.1996997	0.4964634	0.1584881	1.0000000	1.0000000	0.7032312	1.0000000	1.0000000
150	0.8826950	0.1189841	0.1646923	0.5270639	0.1584881	1.0000000	1.0000000	0.7032312	1.0000000	1.0000000
200	0.8451361	0.1026541	0.1476211	0.5436137	0.1584881	1.0000000	1.0000000	0.7032312	1.0000000	1.0000000
250	0.8117797	0.0956022	0.1392133	0.5515297	0.1584881	1.0000000	1.0000000	0.7032312	1.0000000	1.0000000
300	0.7890023	0.0927750	0.1352088	0.5551739	0.1584881	1.0000000	1.0000000	0.7032312	1.0000000	1.0000000
350	0.7758243	0.0916856	0.1333498	0.5568321	0.1584881	1.0000000	1.0000000	0.7032312	1.0000000	1.0000000
400	0.7689722	0.0912739	0.1324987	0.5575839	0.1584881	1.0000000	1.0000000	0.7032312	1.0000000	1.0000000
450	0.7656525	0.0911192	0.1321117	0.5579243	0.1584881	1.0000000	1.0000000	0.7032312	1.0000000	1.0000000
500	0.7641194	0.0910608	0.1319362	0.5580784	0.1584881	1.0000000	1.0000000	0.7032312	1.0000000	1.0000000
550	0.7635076	0.0916809	0.2474644	0.5534820	0.1584881	1.0000000	1.0000000	0.7032312	1.0000000	1.0000000
600	0.7659419	0.0984633	0.3140674	0.5325330	0.1584881	1.0000000	1.0000000	0.7032312	1.0000000	1.0000000
650	0.7782226	0.1121335	0.3441828	0.5098441	0.1584881	1.0000000	1.0000000	0.7032312	1.0000000	1.0000000
700	0.8001357	0.1276247	0.3642490	0.4932003	0.1584881	1.0000000	1.0000000	0.7032312	1.0000000	1.0000000
750	0.8249279	0.1423960	0.3790627	0.4815060	0.1584881	1.0000000	1.0000000	0.7032312	1.0000000	1.0000000
800	0.8474577	0.1555712	0.3900692	0.4730361	0.1584881	1.0000000	1.0000000	0.7032312	1.0000000	1.0000000
850	0.8657869	0.1668276	0.3983220	0.4667597	0.1584881	1.0000000	1.0000000	0.7032312	1.0000000	1.0000000
900	0.8798622	0.1761586	0.4045752	0.4620455	0.1584881	1.0000000	1.0000000	0.7032312	1.0000000	1.0000000
950	0.8903632	0.1837408	0.4093504	0.4584711	0.1584881	1.0000000	1.0000000	0.7032312	1.0000000	1.0000000
1000	0.8981061	0.1898231	0.4130174	0.4557414	0.1584881	1.0000000	1.0000000	0.7032312	1.0000000	1.0000000

0	0.9206629	0.2118471	0.4253718	0.4466419	0.1584881	1.0000000	1.0000000	0.7032312	1.0000000	1.0000000
50	0.9295218	0.4294915	0.4601438	0.3135009	0.1584881	1.0000000	1.0000000	0.7589264	0.9804120	1.0000000
100	0.9521097	0.6627962	0.6083527	0.2024569	0.1584881	1.0000000	1.0000000	0.8174123	0.9557847	1.0000000
150	0.9678731	0.8050959	0.7630543	0.1436777	0.1584881	1.0000000	1.0000000	0.8448860	0.9401881	1.0000000
200	0.9758620	0.8860106	0.8639554	0.1096629	0.1584881	1.0000000	1.0000000	0.8535247	0.9319891	1.0000000
250	0.9795265	0.9281590	0.9193273	0.0901929	0.1584881	1.0000000	1.0000000	0.8545863	0.9280429	1.0000000
300	0.9811470	0.9484989	0.9473410	0.0796811	0.1584881	1.0000000	1.0000000	0.8535481	0.9262387	1.0000000
350	0.9818521	0.9578537	0.9609242	0.0742847	0.1584881	1.0000000	1.0000000	0.8523796	0.9254409	1.0000000
400	0.9821560	0.9620478	0.9673871	0.0716090	0.1584881	1.0000000	1.0000000	0.8515575	0.9250963	1.0000000
450	0.9822862	0.9639092	0.9704429	0.0703109	0.1584881	1.0000000	1.0000000	0.8510705	0.9249500	1.0000000
500	0.9823416	0.9647352	0.9718858	0.0696893	0.1584881	1.0000000	1.0000000	0.8508078	0.9248886	1.0000000
550	0.9822709	0.9174964	0.9585489	0.1319019	0.1584881	1.0000000	1.0000000	0.7789302	0.9444512	1.0000000
600	0.9816553	0.8639378	0.8950531	0.1857035	0.1584881	1.0000000	1.0000000	0.7097659	0.9690680	1.0000000
650	0.9805872	0.8213474	0.8219424	0.2200829	0.1584881	1.0000000	1.0000000	0.6849130	0.9846604	1.0000000
700	0.9795852	0.7783743	0.7607802	0.2484708	0.1584881	1.0000000	1.0000000	0.6835128	0.9928576	1.0000000
750	0.9788545	0.7307833	0.7095433	0.2738534	0.1584881	1.0000000	1.0000000	0.6890309	0.9968031	1.0000000
800	0.9782464	0.6785387	0.6654184	0.2968470	0.1584881	1.0000000	1.0000000	0.6945838	0.9986070	1.0000000
850	0.9775442	0.6231044	0.6270789	0.3177667	0.1584881	1.0000000	1.0000000	0.6984470	0.9994047	1.0000000
900	0.9765827	0.5667261	0.5937659	0.3367485	0.1584881	1.0000000	1.0000000	0.7007463	0.9997493	1.0000000
950	0.9752445	0.5119009	0.5649568	0.3538255	0.1584881	1.0000000	1.0000000	0.7019975	0.9998956	1.0000000
1000	0.9734381	0.4608557	0.5402377	0.3690026	0.1584881	1.0000000	1.0000000	0.7026392	0.9999569	1.0000000

0	0.9206629	0.2118471	0.4253718	0.4466419	0.1584881	1.0000000	1.0000000	0.7032312	1.0000000	1.0000000
50	0.9208288	0.2150188	0.4749402	0.2651671	0.1346382	0.9747690	1.0000000	0.7032312	1.0000000	1.0000000
100	0.9246795	0.2854040	0.6875484	0.1194679	0.1178984	0.9460158	1.0000000	0.7032312	1.0000000	1.0000000
150	0.9408684	0.4731368	0.8735214	0.0572742	0.1150141	0.9293794	1.0000000	0.7032312	1.0000000	1.0000000
200	0.9585188	0.6472589	0.9573079	0.0326709	0.1170508	0.9212274	1.0000000	0.7032312	1.0000000	1.0000000
250	0.9695067	0.7504490	0.9859477	0.0232920	0.1195752	0.9174980	1.0000000	0.7032312	1.0000000	1.0000000
300	0.9750460	0.8003877	0.9947366	0.0198726	0.1213811	0.9158482	1.0000000	0.7032312	1.0000000	1.0000000
350	0.9776058	0.8220358	0.9973474	0.0186858	0.1224513	0.9151311	1.0000000	0.7032312	1.0000000	1.0000000
400	0.9787411	0.8307977	0.9981229	0.0182954	0.1230264	0.9148225	1.0000000	0.7032312	1.0000000	1.0000000
450	0.9792327	0.8341820	0.9983551	0.0181750	0.1233175	0.9146904	1.0000000	0.7032312	1.0000000	1.0000000
500	0.9794420	0.8354456	0.9984247	0.0181412	0.1234593	0.9146340	1.0000000	0.7032312	1.0000000	1.0000000
550	0.9795297	0.8358109	0.9902114	0.0984635	0.1526286	0.9398410	1.0000000	0.7032312	1.0000000	1.0000000
600	0.9795630	0.8328873	0.9322875	0.1669867	0.1707843	0.9685840	1.0000000	0.7032312	1.0000000	1.0000000
650	0.9795465	0.8188568	0.8527159	0.2074381	0.1716857	0.9852160	1.0000000	0.7032312	1.0000000	1.0000000
700	0.9794376	0.7898760	0.7840895	0.2385033	0.1676155	0.9933662	1.0000000	0.7032312	1.0000000	1.0000000
750	0.9791858	0.7483850	0.7277092	0.2654116	0.1638089	0.9970948	1.0000000	0.7032312	1.0000000	1.0000000
800	0.9787511	0.6983597	0.6801657	0.2894314	0.1613200	0.9987443	1.0000000	0.7032312	1.0000000	1.0000000
850	0.9780934	0.6432737	0.6393997	0.3111404	0.1599132	0.9994612	1.0000000	0.7032312	1.0000000	1.0000000
