YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C
0.0000000	0.0697343	0.3408054	0.2136147	0.6324719	0.7221083	0.6277484	0.9749692	0.3969471	1.0417142
0.1281080	0.0003964	0.2856204	0.2253961	0.6069343	0.6773439	0.6375010	1.0946247	0.3020727	1.0875594
0.0501860	0.0262042	0.0000000	0.2319060	0.5937255	0.7132933	0.5593681	1.0181848	0.3583869	1.0252758
0.8910423	0.8919431	1.0318921	0.0000000	0.1252006	0.6654322	0.5562642	1.0770993	0.2458951	1.0169183
0.0845111	0.0162414	0.0890572	1.0183433	0.0000000	0.6303236	0.6699701	1.0323725	0.1610000	0.9843782
0.2019514	0.2473771	0.3335159	0.3661137	0.3933119	0.0000000	0.6247368	1.0220967	0.2895982	1.0239645
0.1291004	0.0181974	0.2606409	0.1863358	1.0538541	0.0100280	0.0000000	1.1721007	0.3680043	0.9031424
0.2296009	0.2902315	0.5463329	0.2106015	0.4873621	0.0186086	0.0076580	0.0000000	0.4008955	1.0201359
0.0892352	0.0207012	0.2230523	0.3301110	0.5967378	0.6603462	0.6710478	0.9777883	0.0000000	1.0084853
0.0757939	0.0906253	0.3779800	0.1772832	0.5955136	0.7193234	0.5886142	1.0331460	0.6877025	0.0000000
