YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W
0.0000019	0.7484895	0.5041541	0.9999199	1.0000000	0.6449985	0.4921720	0.8752164	0.5818916	0.4410306
0.9999850	0.0000024	0.5041541	0.9999199	1.0000000	0.8389143	0.6386070	0.8752164	0.5818915	0.4410307
0.9999180	0.0265248	0.0000000	0.9999199	1.0000000	0.9999109	0.7338637	0.8752164	0.5818915	0.4410307
0.9998434	0.0317332	0.0012721	0.0000000	1.0000000	0.9998082	0.7301103	0.9294457	1.0000000	0.4255477
0.9998179	0.0337136	0.0017331	0.0463848	0.0000000	0.9999326	0.7301971	0.9294404	0.9999306	0.4255492
0.0194156	0.7484895	0.5041541	0.9999199	1.0000000	0.0000002	0.2107728	0.8752164	0.5818915	0.4410306
0.0194156	0.7484895	0.5041541	0.9999199	1.0000000	0.8389143	0.0000008	0.8752164	0.5818915	0.4410307
0.0194156	0.7484895	0.5041541	0.9999199	1.0000000	0.4716451	0.9999783	0.0000000	0.3854904	0.9999942
0.0194156	0.7484895	0.5041541	0.9999199	1.0000000	0.4716803	0.9998845	0.0569528	0.0000000	0.9348484
0.0194156	0.7484895	0.5041541	0.9999199	1.0000000	0.6510792	0.4837964	0.9294405	0.9999994	0.0000008
