YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W
0.0167744	0.7296629	0.4624425	0.9580825	1.0594083	0.7160323	0.5091340	0.9054677	0.6391718	0.4608438
0.0242538	0.8205481	0.5378279	0.9412287	0.8752630	0.5614078	0.3856915	0.9325169	0.5198862	0.4259677
0.0125631	0.9387442	0.3250365	0.9867213	0.5071601	0.6204468	0.3767491	0.8813364	0.6237221	0.4175746
0.0169807	0.7253977	0.4948036	0.8804247	0.8744581	0.6977227	0.3796393	0.8237803	0.5163703	0.3836628
0.0055700	0.7623230	0.5700277	0.9775960	0.9639051	0.4931030	0.3988589	0.8339970	0.6585667	0.4106044
0.0027089	0.7464164	0.5365656	1.0047131	0.6219182	0.6822067	0.5520278	0.8119075	0.3887943	0.4286742
0.0240533	0.8977193	0.5201812	0.9849612	0.9936889	0.6980971	0.5872022	0.8548937	0.6072457	0.4007054
0.0184468	0.6877010	0.3976420	0.9197444	1.0278475	0.7496122	0.4108335	0.8266545	0.6094082	0.4088992
0.0133621	0.7459772	0.7014447	1.0366880	0.9828458	0.6355073	0.5779644	0.8528687	0.6217251	0.4671361
0.0304252	0.7832848	0.4443925	0.9818441	0.9412477	0.6678941	0.4292094	0.9168725	0.5645708	0.4530812
