YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C
0.7190842	0.3700663	0.3627957	0.4909815	0.4095244	0.0564556	0.9714394	0.5766967	0.1382203	0.9531883
0.8728185	0.8559224	0.1098756	0.5061292	0.1409780	0.2185363	0.9806493	0.9994396	0.0087144	0.9992482
0.7698255	0.4156927	0.3091705	0.2847814	0.3382614	0.2487603	0.9789458	0.7835931	0.2336260	0.9726502
0.8066831	0.5653484	0.2664899	0.1622474	0.2765093	0.1041332	0.9877513	0.4886776	0.2344060	0.9570621
0.9918756	0.8714372	0.1018821	0.4042184	0.0129103	0.1421774	0.9988410	0.9108262	0.2323756	0.9994219
0.8575318	0.7246136	0.1756258	0.2213054	0.0349842	0.2248507	0.9789682	0.7934245	0.0261863	0.7999351
0.9682675	0.6539406	0.1676956	0.0461506	0.1938843	0.0555724	0.9959774	0.6947572	0.2324960	0.9967081
0.5860183	0.1709104	0.5027138	0.3729099	0.2105570	0.2606917	0.9750111	0.6394521	0.0236739	0.8669798
0.8769606	0.5796157	0.1872272	0.3429386	0.1216489	0.2589289	0.9805978	0.9879142	0.0187864	0.9951666
0.9105487	0.5052145	0.3088635	0.1246995	0.3378715	0.2598300	0.9777194	0.7246243	0.2336221	0.9727608
