"Time"	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W

0	0.1198399	0.6420373	0.9999801	0.0555305	0.1060043	0.8736781	0.9025617	0.0449874	0.2597949	0.1365092
50	0.1225497	0.5691372	0.7501176	0.0555301	0.1073351	0.8137042	0.9108622	0.0453678	0.2328062	0.3426729
100	0.1547211	0.4399995	0.6770949	0.0555412	0.1243245	0.6709375	0.9363901	0.0460385	0.2426190	0.4475350
150	0.2417472	0.3692552	0.6557539	0.0556415	0.1750709	0.5597066	0.9583580	0.0456595	0.2747127	0.5119729
200	0.3574620	0.3418431	0.6495168	0.0562697	0.2601658	0.4921372	0.9693548	0.0445948	0.3072111	0.5581859
250	0.4540084	0.3325706	0.6476935	0.0595487	0.3577655	0.4522085	0.9727799	0.0437143	0.3291441	0.5902978
300	0.5146826	0.3296277	0.6471577	0.0711168	0.4433605	0.4284457	0.9726399	0.0432028	0.3409878	0.6101723
350	0.5469774	0.3287204	0.6469874	0.0966096	0.5065459	0.4145115	0.9714407	0.0429456	0.3465678	0.6212629
400	0.5625013	0.3284260	0.6468790	0.1337781	0.5484265	0.4066118	0.9703162	0.0428252	0.3489725	0.6270093
450	0.5695149	0.3282532	0.6466380	0.1734730	0.5742558	0.4023075	0.9695694	0.0427714	0.3499543	0.6298493
500	0.5726834	0.3279374	0.6460357	0.2075820	0.5893524	0.4000462	0.9691655	0.0427483	0.3503689	0.6312501
550	0.5579452	0.4188688	0.8938691	0.2327452	0.5950274	0.4157774	0.9635163	0.0426023	0.3927962	0.4471037
600	0.4406530	0.5479994	0.9645592	0.2447966	0.5642148	0.4777611	0.9282300	0.0424279	0.3730627	0.3227789
650	0.2990470	0.6069193	0.9841763	0.2270114	0.4719964	0.5726801	0.8796198	0.0425368	0.3301095	0.2376794
700	0.2082422	0.6275036	0.9911116	0.1736675	0.3482789	0.6734440	0.8600169	0.0429482	0.2967213	0.1880672
750	0.1613332	0.6350587	0.9955599	0.1162338	0.2445469	0.7546414	0.8659641	0.0435302	0.2777737	0.1616720
800	0.1390199	0.6387086	0.9981998	0.0810028	0.1791044	0.8084830	0.8786345	0.0440824	0.2683287	0.1483769
850	0.1286703	0.6406078	0.9993465	0.0651984	0.1432563	0.8399805	0.8888696	0.0444824	0.2638053	0.1419411
900	0.1238745	0.6414815	0.9997648	0.0590655	0.1247094	0.8569927	0.8952617	0.0447255	0.2616470	0.1389220
950	0.1216551	0.6418349	0.9999076	0.0568181	0.1152973	0.8656992	0.8988331	0.0448584	0.2606263	0.1375462
1000	0.1206398	0.6419662	0.9999555	0.0560068	0.1105603	0.8699798	0.9007190	0.0449264	0.2601557	0.1369382

0	0.1198399	0.6420373	0.9999801	0.0555305	0.1060043	0.8736781	0.9025617	0.0449874	0.2597949	0.1365092
50	0.1206755	0.6195518	0.9165245	0.0555299	0.1059983	0.8734982	0.9032737	0.0449855	0.2605041	0.1380404
100	0.1285872	0.5826657	0.8921345	0.0555297	0.1060821	0.8714027	0.9084414	0.0449249	0.2666415	0.1430806
150	0.1439642	0.5630040	0.8850065	0.0555300	0.1065663	0.8659153	0.9144286	0.0446992	0.2770974	0.1497725
