YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C
0.8588960	0.6417606	1.0194642	0.0020533	0.4762727	0.6363364	1.0940219	0.0241078	0.2714718	1.0448848
0.8341965	0.5484803	0.8492857	0.0179971	0.5163337	0.8446373	0.9306498	0.0065073	0.1768673	0.6728460
0.9070062	0.6657348	0.9154721	0.0892411	0.5114913	0.6374407	0.6327742	0.1997697	0.4868425	0.9956785
0.7890369	0.5796990	0.9835102	0.0000994	0.5097641	0.3065005	0.1895622	0.4558378	0.4333894	0.9271270
0.8360457	0.7530241	0.8586363	0.0592733	0.9731932	0.7408850	0.5778650	0.1419070	0.1784828	1.0195259
0.8790095	0.6623586	0.9868763	0.0813036	0.4147612	0.7092593	0.8761888	0.0989279	0.1966428	1.0449234
0.8709111	0.5952552	0.9270840	0.1718354	0.1081064	0.6019300	0.3319634	0.3494174	0.5693248	1.0585218
0.9171641	0.7154586	1.0145187	0.0309007	0.9533731	0.6199938	0.9696141	0.0560796	0.1451034	0.9715828
0.8798199	0.6506482	0.8784680	0.0008980	0.9694748	0.8852332	1.0936863	0.0239309	0.1789737	0.9478287
0.8878256	0.6384017	1.1166073	0.0254684	0.4281162	0.6811340	0.9522532	0.0064615	0.1223638	0.9977504
