"Time"	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W

0	0.2548324	1.0436888	0.0765708	0.2381231	0.9532632	0.2423358	0.6653750	0.7266201	0.8000989	0.9828388
50	0.1937954	1.0057444	0.0758040	0.2791024	0.8850393	0.2766898	0.6016005	0.7597359	0.8184978	0.9746173
100	0.1726224	0.9883556	0.0684045	0.3000451	0.8760124	0.2586431	0.5501842	0.6744302	0.8055668	0.9905986
150	0.1452506	1.0172422	0.0826833	0.3047482	0.9511735	0.2540415	0.5785447	0.6790064	0.7699019	0.8962935
200	0.1108561	1.0333816	0.0485192	0.2917876	0.9071870	0.2486295	0.5339994	0.7480041	0.7501367	0.9647780
250	0.1412111	0.9790352	0.0855517	0.3028188	0.8547666	0.2278423	0.5827907	0.7034370	0.7028275	0.9914632
300	0.1496606	0.9950197	0.0929728	0.3314133	0.9479540	0.2349750	0.6156892	0.7145600	0.8470431	0.9425420
350	0.1385430	1.0201592	0.0744846	0.3058122	0.9070939	0.2479971	0.5837628	0.6663244	0.8065993	1.0574303
400	0.1417380	1.0612437	0.0939354	0.2941738	0.9411645	0.2436956	0.5613808	0.7307752	0.7312867	1.0486153
450	0.1583243	0.9913637	0.0809686	0.3162558	0.9054333	0.2382106	0.6171478	0.7191853	0.8248019	1.0299019
500	0.1344235	0.9903946	0.0626875	0.2851386	0.9381491	0.2495566	0.6712776	0.8087516	0.7234110	0.9340072
550	0.2778359	1.0703369	0.0617713	0.2612562	1.0021441	0.1820220	0.5768875	0.7264217	0.7495761	0.9363075
600	0.2883912	1.0624771	0.0837419	0.3228687	0.9132249	0.2164750	0.5868918	0.7263914	0.8224008	0.9368567
650	0.2903314	0.9872052	0.0841369	0.2897895	0.8576712	0.2166835	0.5193907	0.7553843	0.8157972	1.0029174
700	0.2821504	1.0119716	0.1735735	0.3757043	0.8044154	0.2371680	0.5080659	0.6916831	0.8279387	1.0011900
750	0.3284540	0.9162484	0.1133421	0.3524768	0.8239206	0.2063598	0.5433736	0.7465916	0.8194121	0.9831862
800	0.3387797	0.9632533	0.0856743	0.3374932	0.9226365	0.2392286	0.5944078	0.7066089	0.8008247	0.9970559
850	0.3231724	0.9817066	0.0630944	0.3321342	0.9306582	0.2479294	0.6117150	0.6928466	0.8279077	0.9458344
900	0.2782571	0.9512029	0.0701146	0.3308070	0.9249655	0.2348995	0.5435895	0.6882475	0.8268839	0.9868091
950	0.2539504	1.0183493	0.0899173	0.2769234	0.9441184	0.2533466	0.5760398	0.7478626	0.7967482	0.9876486
1000	0.2884491	1.0499475	0.1238287	0.3058230	0.8428041	0.2513582	0.5033386	0.7663489	0.7828932	1.1232589

0	0.2548324	1.0436888	0.0765708	0.2381231	0.9532632	0.2423358	0.6653750	0.7266201	0.8000989	0.9828388
50	0.3312640	1.0412405	0.1503775	0.3219274	0.8302112	0.2586714	0.3089228	0.7575107	0.4466896	0.9770604
100	0.4447459	0.9990843	0.3846614	0.4466682	0.9262226	0.2911081	0.1541449	0.7109963	0.3507294	0.9507101
150	0.6720112	0.9685945	0.6492703	0.6105503	0.9437749	0.3410331	0.1795938	0.7239058	0.3310474	1.0112283
200	0.7314149	1.0587624	0.7634153	0.6629556	0.9324098	0.3739656	0.1825942	0.8011109	0.3051267	0.9494240
250	0.8831188	0.9283761	0.8408421	0.6703817	0.9214349	0.4033314	0.1386849	0.7744599	0.3103922	0.9922454
300	0.8414428	0.9268405	0.8808586	0.7239416	0.8972189	0.4030378	0.1010130	0.7081193	0.3163751	1.0468248
350	0.7886984	0.9240910	0.8752505	0.7198378	1.0053771	0.4129685	0.1462408	0.6993938	0.3440560	1.0056614
400	0.9100445	1.0037341	0.8677621	0.7165913	0.9790858	0.3932193	0.1223500	0.6704738	0.3477994	0.9727523
450	0.8038362	1.0144996	0.8692660	0.7612791	0.9729906	0.3922731	0.1539129	0.7070629	0.3623724	1.0212136
500	0.8237547	0.9336448	0.8697643	0.7249979	0.9904781	0.3975514	0.1438804	0.8399062	0.3200909	0.9842468
550	0.7467713	1.0128719	0.5997553	0.7732573	0.8981568	0.3810386	0.4071306	0.7606729	0.6680121	0.9784111
