YIR023W	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W
0.9896391	1.0453085	0.7360617	0.2218628	0.0129542	0.9895768	0.8879841	0.3255695	0.7190994	0.5166852
0.9495570	0.5676922	1.0379410	0.6400527	0.0084587	1.0252473	0.8659690	0.3683572	1.0729663	0.3292140
0.9686290	0.9184567	0.9895268	0.1880978	0.0416637	0.9991241	0.9249942	0.3474706	0.8755801	0.4725594
0.9987988	0.9963733	0.9898972	0.2145836	0.1247453	1.1164350	0.2977183	0.4494997	0.4310547	0.7173577
0.8829275	0.3544360	0.9064322	0.3614660	0.0119050	1.0472927	0.8884215	0.3459427	0.8771611	0.5081335
1.0094457	0.9539728	0.9363632	0.1421424	0.0630047	1.0284962	0.4111623	0.3693051	0.5257032	0.7317447
1.0634997	0.9784586	0.9584317	0.2142194	0.1042061	1.0322052	0.9325593	0.3247896	0.4078378	0.8033134
1.0722420	1.0674965	0.9423549	0.1743543	0.0178746	1.0077342	0.7589539	0.3319105	0.9389691	0.4084040
1.0581636	0.7981501	0.8833360	0.2325835	0.1242356	1.0173571	0.7192591	0.5073232	0.4211202	0.7698007
1.0010473	0.7223234	1.0332082	0.1109779	0.0228977	1.1032832	0.8720207	0.4172366	0.6873277	0.5479917
