YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C
0.8357232	0.0757860	0.3693537	0.6127947	0.7090005	0.6716728	0.4679293	0.5651853	0.7724744	0.0742127
0.5733734	0.0692136	0.3217256	0.6721847	0.8526010	0.5485111	0.5483562	0.7731534	0.9670125	0.0871451
0.9128112	0.0000227	0.7336904	0.5107571	0.2676050	0.7819135	0.3117397	0.8742482	1.0819017	0.0040695
1.0473113	0.0009158	0.4921310	0.5410085	0.7384756	0.6085850	0.5171723	0.8115120	0.9402554	0.0523395
0.9047830	0.0970045	0.4630213	0.6826136	0.7352655	0.5904132	0.4935740	0.7696472	0.9557573	0.0553166
1.0710540	0.0003239	0.4589780	0.8002043	0.5985793	0.5614875	0.5162283	0.7093384	0.8579398	0.0551108
0.8835377	0.0642618	0.5810964	0.7917259	0.9075065	0.4243178	0.4244422	0.8131970	1.0155494	0.0067883
0.9345095	0.0845555	0.3829793	0.8178709	0.7514305	0.5902302	0.5580856	0.6639808	0.7202476	0.0618096
0.7019366	0.0899915	0.5928779	0.4603536	0.6113278	0.4448268	0.3091560	0.8942320	0.9899496	0.0437217
0.9094530	0.0730823	0.8150397	0.6413558	0.8884275	0.4185456	0.3622872	0.6959227	0.9984248	0.0357585
