YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W
0.0000000	0.0283558	0.4986231	0.5941482	0.7208859	0.0621114	0.0747123	0.2263882	0.4352728	0.0160824
0.0979605	0.0000000	0.5641447	0.4991526	0.8110638	0.1013904	0.0385802	0.2107461	0.5593607	0.0107362
0.1072759	0.0147816	0.0000000	0.6577210	0.6833509	0.1430885	0.1061681	0.2486925	0.4484481	0.0149879
0.2726153	0.3198654	0.8105171	0.0000000	0.7672115	0.0110617	0.0429451	0.2720995	0.5565317	0.0092964
0.4019440	0.4074768	0.7545015	0.0049019	0.0000000	0.0551163	0.0529974	0.1668027	0.5347824	0.0250863
0.0796627	0.0339300	0.4344971	0.5858235	0.8343268	0.0000000	0.0935896	0.1804486	0.3328624	0.0292457
0.0913211	0.0318188	0.5823299	0.6278658	0.8199309	0.0606843	0.0000000	0.2722882	0.5680310	0.0313949
0.3699130	0.5202008	0.7216956	0.0076265	0.0929599	0.7444850	0.7845458	0.0000000	0.3596977	0.6038576
0.3156065	0.4264150	0.8294034	0.0034914	0.0616246	0.6689163	0.8918704	0.0360377	0.0000000	0.6249980
0.0807918	0.0188416	0.5872344	0.5808316	0.8215134	0.0537754	0.0376019	0.1964412	0.4576348	0.0000000
