YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W
0.0222727	0.6842157	0.7520306	0.0128549	0.1126502	0.3700470	0.4998615	0.0368005	0.6384285	0.6343134
0.1390684	0.4208757	0.8664014	0.0421461	0.1739465	0.4124547	0.4615497	0.0613100	0.6837818	0.7845472
0.1283702	0.4186697	0.4500356	0.0243118	0.1513288	0.2828636	0.4502524	0.0696301	0.7525796	0.7513636
0.0232415	0.6349531	0.7947772	0.0269120	0.2365800	0.3140504	0.4628137	0.0336809	0.5999253	0.8904221
0.0200156	0.7679433	0.7774440	0.0098901	0.0934032	0.3677557	0.4509742	0.0645924	0.7322894	0.7063726
0.2082844	0.7039592	0.6897360	0.0097497	0.0272913	0.2024537	0.4286874	0.0646771	0.7900837	0.7977853
0.0330277	0.7037110	0.6575444	0.0114764	0.2661694	0.3650631	0.2293009	0.0437294	0.8206159	0.8460279
0.0569329	0.6810287	0.7205019	0.0302707	0.1338092	0.1811061	0.4659928	0.0231685	0.8261298	0.9063117
0.0232936	0.6492998	0.7186268	0.0216145	0.2195094	0.3799708	0.4415886	0.1104857	0.3367902	0.7801244
0.0095933	0.6798818	0.7523528	0.0258695	0.3156463	0.6703111	0.1445358	0.1903888	0.2930677	0.4612704
