YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W
0.1195752	0.9986618	0.0709365	0.2674695	0.9159564	0.2341508	0.6254190	0.7147504	0.8162039	1.0000000
0.2380694	0.4950249	0.0304585	0.1589524	0.9009741	0.2191774	0.8462329	0.5193334	0.8179099	1.0000000
0.2392495	0.9987938	0.0377886	0.2783681	0.9171081	0.2354714	0.6111124	0.7266480	0.8160402	1.0000000
0.2392495	0.9987938	0.0755768	0.1391945	0.9171081	0.2354714	0.6111124	0.7266480	0.8160402	1.0000000
0.2392495	0.9987938	0.0755768	0.2783680	0.4585773	0.2354714	0.6111124	0.7266480	0.8160402	1.0000000
0.2347963	0.9987967	0.0756930	0.2786377	0.6269276	0.1177519	0.6107727	0.7269273	0.8231511	1.0000000
0.2453836	0.9987897	0.3934478	0.7036695	0.9513667	0.2901405	0.3057932	0.7262502	0.8064816	1.0000000
0.2377074	0.7748019	0.0203928	0.1270956	0.8943103	0.2134320	0.9766210	0.3034531	0.8184808	1.0000000
0.7464070	0.9982253	0.0602760	0.2413510	0.9129623	0.2309017	0.6633116	0.6834382	0.4083015	1.0000000
0.6072124	0.9987596	0.0742979	0.2753992	0.9168114	0.2351122	0.6149886	0.7233967	0.6969506	0.5000000
