YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W
0.0139203	0.7163633	0.2006725	0.3716829	0.5462077	0.3182133	0.6807052	0.2882788	0.0568424	0.8489756
0.0106531	0.7753441	0.0835873	0.2882864	0.3639434	0.2102336	0.6913746	0.2175120	0.7907036	0.7892080
0.0250281	0.8333007	0.2413686	0.2950357	0.0800655	0.1289118	0.7261812	0.3230094	0.1384057	0.7854864
0.0211663	0.6849432	0.2944397	0.4171058	0.2874735	0.1550412	0.8407838	0.2591015	0.5442410	0.7409618
0.0099405	0.8344526	0.4326282	0.2944376	0.5305142	0.3542961	0.5748193	0.1177620	0.1795934	0.7318982
0.0151217	0.6103186	0.4678362	0.6122881	0.0820166	0.0851425	0.7000640	0.2994540	0.1961830	0.5982603
0.0132915	0.7034777	0.2125757	0.3279976	0.5973120	0.3757843	0.4618156	0.1354828	0.1519927	0.4962220
0.0076245	0.8251353	0.3359387	0.0835019	0.0391434	0.0685985	0.5013051	0.2027588	0.2988282	0.7345317
0.0152846	0.8026289	0.0526627	0.0121263	0.2439547	0.1863882	0.7111863	0.2601100	0.1062337	0.7014469
0.0110443	0.6103676	0.3131089	0.2388267	0.5465169	0.3330342	0.8253075	0.0431567	0.4688604	0.7627440
