YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W
0.0000000	0.2518803	0.8867223	0.5912246	0.8141760	0.4794748	0.1980270	0.0169875	0.9405081	0.5272366
1.0384528	0.0000000	0.8470173	0.4834253	0.5181139	0.9711644	0.7975463	0.0743735	0.3361905	0.5920028
0.0839984	0.4112692	0.0000000	0.3618405	0.6443066	1.0979468	1.0640389	0.4864261	0.2243377	0.5958982
0.1129218	0.3363810	0.0683095	0.0000000	0.6401662	1.0602682	0.9297383	0.4774934	0.1532415	0.6490668
0.0841010	1.0765106	0.0521082	0.0410592	0.0000000	1.0042167	1.0305198	0.4962688	0.1706542	1.0181866
0.2413264	0.2457601	0.9359917	0.6750180	1.0432026	0.0000000	0.5913162	0.0313538	0.5098388	0.5234677
0.1900277	0.2563106	1.0499881	0.5911035	1.0230578	0.0689205	0.0000000	0.0377531	0.5356050	0.4791887
0.1242963	0.3102823	0.8715975	0.4445384	0.6483092	0.8841192	0.4618956	0.0023230	0.6316518	0.6278799
0.0908014	0.3750102	0.7322969	0.3921406	0.5914663	1.0066731	0.9985465	1.0284950	0.0000000	0.6203912
0.1587529	0.3233103	0.7855599	0.4950120	0.5735144	0.7472815	0.3260284	0.0282978	0.7514349	0.0000000
