YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C
0.9921281	0.1394593	0.7773282	0.5756952	0.2836452	0.0420041	0.6608865	0.2652044	0.9197983	1.0318171
0.5707156	0.9106315	0.0844528	0.1522209	0.1732407	0.2939913	0.2473690	0.6465298	0.7907413	0.6717172
0.3300223	1.0530688	0.1527732	0.1014251	0.0392826	0.1371296	0.3878981	0.5139484	0.9025591	0.9705584
0.4933775	0.8589348	0.2169793	0.0633954	0.0019344	0.0017665	0.3548899	0.6047641	0.9844998	0.8747920
0.5478952	0.8844134	0.0284711	0.0070322	0.0216805	0.1232588	0.3337431	0.5966259	0.9403372	0.9599077
0.9714568	0.0896531	0.6633845	0.6169729	0.4870759	0.1897946	0.4442648	0.4453539	0.8146627	1.0546125
1.2033506	0.2654787	0.5275876	0.3336882	0.3138918	0.1823403	0.4699598	0.3307337	0.7398821	0.8474807
0.5967214	0.9701658	0.2331070	0.0745119	0.1335159	0.3420815	0.3815842	0.4592439	0.7376224	0.6440610
0.8215666	0.2447399	0.6066002	0.1188130	0.0723479	0.2394885	0.6602580	0.1850972	0.8564125	0.9680864
1.0245861	0.4402407	0.3772487	0.1154729	0.1070565	0.3266055	0.5064443	0.4114327	0.8879997	0.7252892
