YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C
0.0161048	0.0107242	0.0335638	0.6273915	0.2807692	0.8844272	0.8859153	1.0681335	0.2082978	0.8979673
0.2438980	0.0462266	0.4314281	0.1558758	0.6571899	0.4567679	0.5506097	0.7618530	0.5642687	0.7821529
0.3155749	0.1528632	0.4756089	0.2152061	0.4174062	0.6717957	0.6932153	0.8469435	0.8242306	0.8832331
0.0002975	0.0425381	0.2530227	0.2856232	0.3938266	0.6278250	0.6498892	0.8804060	0.3246026	0.7395166
0.0024108	0.0131420	0.2983874	0.2046726	0.4903017	0.6621428	0.5930455	0.9181161	0.4963745	0.9713725
0.3812109	0.1899583	0.2043728	0.3939234	0.2584275	0.6510310	0.6578278	1.0972746	0.0530973	0.9280281
0.2112920	0.3321161	0.1001401	0.7026969	0.1684680	0.6304866	0.6516560	1.0391491	0.1033295	0.9810484
0.2325845	0.2401128	0.2780535	0.4162330	0.2737150	0.5259608	0.5574863	0.7635789	0.1560414	0.5632767
0.0017288	0.0321568	0.2849388	0.2405210	0.6827781	0.6285767	0.6781500	1.0034617	0.2205028	0.9127800
0.0346415	0.0520775	0.2506412	0.2834769	0.3857827	0.8132726	0.7979797	1.0564550	0.2618325	0.9889020
