"Time"	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C

0	0.0453734	0.0596690	0.1061215	0.6269027	0.0331310	0.0528351	0.1150656	0.3340896	0.2060868	0.7649620
50	0.0316527	0.0386143	0.1422509	0.6400349	0.0112897	0.0686335	0.0678940	0.6695049	0.1649274	0.7402731
100	0.0323330	0.0386679	0.1162812	0.6576195	0.0116947	0.0322414	0.0715438	0.5484479	0.1900697	0.6891810
150	0.0729011	0.0406423	0.1606389	0.7583578	0.0323266	0.0413117	0.0614824	0.5486375	0.1545433	0.8446039
200	0.0413887	0.0562214	0.1495477	0.7944296	0.0081569	0.0492918	0.0476360	0.7011000	0.1368942	0.7465595
250	0.0190495	0.0353273	0.1874569	0.6363468	0.0191291	0.0457643	0.0560861	0.6081273	0.1139919	0.6508966
300	0.0135551	0.0329922	0.1709103	0.7157449	0.0530697	0.0448612	0.0523434	0.6116571	0.1367113	0.6808532
350	0.0134057	0.0310779	0.1056659	0.6917147	0.0823558	0.0634464	0.0852331	0.6018129	0.1364681	0.6865836
400	0.0205116	0.0260424	0.1241538	0.7209020	0.0614827	0.0441603	0.0880974	0.5818138	0.1389607	0.8075122
450	0.0240517	0.0330026	0.1880569	0.8092121	0.0499065	0.0463467	0.0938981	0.8643542	0.1439853	0.7554043
500	0.0300370	0.0381268	0.1268126	0.5886118	0.0144934	0.0189364	0.0646658	0.7848484	0.1708641	0.6787447
550	0.0170824	0.0735253	0.0438766	0.6049834	0.0321919	0.0880861	0.1138233	0.6463581	0.2141725	0.7091404
600	0.0217984	0.0128550	0.0514292	0.6945652	0.0359439	0.0667810	0.1110644	0.4422471	0.1581068	0.6094283
650	0.0332035	0.0268694	0.0182667	0.6530885	0.0121476	0.0859962	0.0982615	0.4379881	0.1624111	0.6990845
700	0.0305882	0.0546428	0.0367643	0.6752689	0.0251024	0.0408998	0.1090328	0.3849291	0.1326843	0.7145548
