YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C
0.0000000	0.0606407	0.5723865	0.4114728	0.2175227	0.4033313	0.5907851	0.6797550	0.0778366	0.8894399
0.4020049	0.0000000	0.7848570	0.2831084	0.2577358	0.1567557	0.3972378	0.7602418	0.0726058	0.6315489
0.2967377	0.0861275	0.0000000	0.2525836	0.3075560	0.3464124	0.4468320	0.8184617	0.0360632	0.7911476
0.0405326	0.0681170	0.6056742	0.0000000	0.0981287	0.0754343	0.2332283	0.6434508	0.0619343	0.6830543
0.0168919	0.0155160	0.4868954	0.6634627	0.0000000	0.7323188	0.6045888	0.7051715	0.0503035	0.8192993
0.0395342	0.0160429	0.3999571	0.7828744	0.0190323	0.0000000	0.6035936	0.8360825	0.0500496	0.6479301
0.0176460	0.0420029	0.3573763	0.8266743	0.0060978	0.0432243	0.0000000	0.7231478	0.0355485	0.7525963
0.3536304	0.0889739	0.9035011	0.1588482	0.2400970	0.1216480	0.0479675	0.0000000	0.0891320	0.8818190
0.3901367	0.1516741	0.7530109	0.2313236	0.3166703	0.3470767	0.3084722	0.8206066	0.0000000	0.8856313
0.4416404	0.1566009	0.6883981	0.2850398	0.2512426	0.1430147	0.3816116	0.2465910	0.8920631	0.0000000
