YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W
0.2844539	0.7370501	0.5231832	1.0079766	0.3598130	0.5669192	1.0111896	0.7902414	0.5832988	0.9065549
0.2549324	0.4751511	0.4459874	0.9419882	0.3240309	0.5502655	1.0126784	0.7825188	0.5117607	1.0642326
0.6310356	0.9520320	0.1986753	0.9692964	0.2882292	0.5372232	1.0634862	0.8094708	0.6449637	1.0427587
0.3507963	0.5050498	0.7097942	0.4474408	0.4257100	0.5584888	0.9704774	0.7391522	0.5665305	0.9530637
0.6077664	0.7961480	0.4104328	1.0510510	0.1769338	0.5550594	0.9821343	0.8204322	0.5396463	1.0117660
0.5828997	0.7693513	0.4427039	0.9963139	0.1734590	0.2732919	0.9608892	0.6925063	0.6098939	0.9444891
0.5553346	0.8014621	0.4766213	0.9696598	0.3007430	0.2344635	0.5443024	0.7790629	0.5640460	1.0427909
0.4919501	0.8497736	0.4500633	0.8886906	0.2906418	0.4602881	0.8104948	0.4058307	0.5506517	0.9406452
0.6297741	0.8615916	0.4887489	0.9069330	0.3241539	0.4910517	0.8991751	0.5618714	0.2860274	0.9315975
0.5792041	0.8255313	0.4426755	0.9659642	0.2419292	0.5449575	0.9837102	0.8589787	0.3352413	0.4770901
