YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W
0.0220516	0.4240701	0.5674472	0.4706547	0.7044961	0.1453110	0.1063247	0.0381187	0.0890955	0.2187233
0.0667578	0.2264604	0.5341216	0.3915839	0.9336605	0.0819241	0.0303465	0.0628194	0.0378617	0.2277599
0.0835209	0.0649836	0.2408175	0.5229186	0.8258726	0.1671877	0.1094263	0.0671997	0.0452641	0.2263869
0.0633253	0.0894005	0.3182450	0.1531131	1.0161788	0.0978586	0.1226582	0.0338219	0.0042590	0.0451652
0.3571388	0.6329439	0.5847272	0.6916871	0.4276446	0.2378320	0.1723150	0.2679291	0.3761405	0.5178742
0.1354015	0.3037292	0.5676445	0.5609527	0.6927654	0.0278895	0.1174652	0.0543195	0.0785105	0.2347114
0.0906024	0.2944462	0.5312480	0.4455005	0.7794765	0.0798529	0.0139522	0.0669547	0.0161782	0.0942052
0.0538493	0.3014034	0.5725697	0.4250946	0.7085278	0.1138258	0.0627532	0.0245434	0.1112469	0.4076062
0.0694360	0.3024443	0.6161553	0.5328468	0.8509934	0.1460961	0.1177062	0.0700104	0.0105167	0.1787273
0.0540806	0.3301165	0.5703254	0.5133640	0.7404025	0.0984048	0.1087052	0.0487018	0.0190448	0.1516929
