"Time"	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W

0	0.7539269	0.4139150	0.9302636	0.6738145	0.4390541	0.5160772	0.4887091	0.6212063	0.6415492	0.9756862
50	0.6439707	0.5965228	1.0172288	0.8594623	0.4951689	0.2670925	0.1408076	0.6090377	0.8461114	0.3592985
100	0.6853943	0.4981354	0.9929862	0.8725348	0.2521082	0.3228264	0.0598638	0.5933505	0.7612342	0.2846880
150	0.7086023	0.5620450	0.9841061	0.8142720	0.1988641	0.3599319	0.0481428	0.6355140	0.8477389	0.2011038
200	0.7052293	0.5414704	0.9608096	0.7213651	0.1644708	0.3739073	0.0359334	0.6201235	0.7657529	0.2094128
250	0.7139456	0.5736970	0.8602362	0.6989513	0.1598788	0.4070349	0.0347106	0.5331553	0.7915076	0.1999628
300	0.6987881	0.4911671	0.8666331	0.6794233	0.1559592	0.4459007	0.0178731	0.5084262	0.7593861	0.1830288
350	0.6856241	0.7263780	0.9162735	0.6858449	0.2369682	0.4492329	0.0389709	0.5148714	0.8063795	0.2084398
400	0.6855582	0.6404148	1.0263269	0.6890811	0.2207259	0.4179866	0.0249344	0.4883690	0.7290217	0.1821125
450	0.7025476	0.5276178	0.9602898	0.6801320	0.1929248	0.4477689	0.0301123	0.4971426	0.8435927	0.2221307
500	0.6993437	0.4722094	0.9281541	0.6900131	0.2298768	0.4508380	0.0334785	0.5342556	0.8467282	0.1723731
550	0.6967611	0.4424882	0.9670949	0.4640645	0.3037866	0.7945884	0.4587886	0.5660659	0.4970342	0.8558800
600	0.7286485	0.4357824	0.9227260	0.4903635	0.3628353	0.7557710	0.4715098	0.5658221	0.5891931	0.9555276
650	0.6629761	0.6260350	0.8491312	0.5733218	0.4431606	0.6254312	0.5812131	0.5858769	0.5393094	0.9063311
700	0.5990212	0.7662771	0.8772199	0.6943884	0.5022110	0.4919749	0.6101508	0.5377373	0.5834899	0.9251908
750	0.5379334	0.7255338	0.9752943	0.7395271	0.5753865	0.4080757	0.5764959	0.5220707	0.6448600	1.0329429
800	0.5343050	0.5329275	1.0238705	0.6813288	0.4988249	0.3554650	0.7158517	0.5416155	0.6049255	1.0501415
850	0.5996602	0.4277724	1.0207420	0.6951841	0.5969819	0.3308470	0.7043990	0.6293265	0.6557713	0.9595870
900	0.6743328	0.4456897	1.0163343	0.7624184	0.6373111	0.3128733	0.5341969	0.5635688	0.6295585	1.0085383
950	0.7665495	0.5031912	1.0392128	0.7739272	0.5584712	0.3343199	0.6056951	0.6108339	0.6579643	0.9693311
1000	0.7170453	0.5571484	1.0388305	0.7845851	0.4796727	0.3818783	0.3647894	0.5628855	0.5892828	1.0001075

0	0.7539269	0.4139150	0.9302636	0.6738145	0.4390541	0.5160772	0.4887091	0.6212063	0.6415492	0.9756862
50	0.7036989	0.4624772	0.9064738	0.6612796	0.6209448	0.6019667	0.2876437	0.6029089	0.7479495	0.5768619
100	0.7243271	0.4398751	1.0084632	0.7871125	0.7702495	0.7548351	0.1295116	0.5959567	0.7693062	0.4909045
150	0.7621398	0.4213242	0.9586615	0.8867275	0.8698065	0.8737517	0.0778592	0.5171801	0.7904040	0.4860739
200	0.7424040	0.4597903	1.0300951	0.9632164	0.7569885	0.8699715	0.1082357	0.5248158	0.7667364	0.5506222
250	0.7130950	0.3557560	1.0749420	0.8781497	0.7390475	0.9160074	0.1315668	0.5767170	0.7558382	0.5130382
300	0.6740070	0.4965656	1.0689415	0.7682073	0.7592711	0.9093606	0.1377592	0.6126134	0.7728432	0.5202161
350	0.6909971	0.3960511	0.9274070	0.8429977	0.8417928	0.9285886	0.1456406	0.5747098	0.7795124	0.4615263
400	0.7283072	0.3687498	1.0350014	1.0224021	0.7849536	0.9136577	0.1144739	0.5951126	0.7950384	0.5227686
450	0.7498308	0.3983613	0.9442661	0.8961958	0.8111949	0.9390398	0.1056987	0.5750516	0.7932875	0.4995331
500	0.7742605	0.4520996	0.9383023	0.9244936	0.8226633	0.9404675	0.1048913	0.5514998	0.7843552	0.4968918
550	0.8380207	0.4948861	0.9686264	0.8352436	0.5157403	0.9656317	0.3328561	0.5385184	0.5584296	0.9164369
600	0.6893540	0.5164807	0.9322433	0.6463362	0.4484883	0.8019275	0.4652014	0.5222570	0.6159799	0.9251471
650	0.6304343	0.5112883	0.9964493	0.6918952	0.4480799	0.6518559	0.5628620	0.6504894	0.5461059	1.0236955
700	0.7741425	0.4346255	0.9918812	0.6538956	0.5049618	0.5580188	0.4787962	0.6330592	0.6881082	0.9870989
750	0.7791918	0.3836215	0.9493177	0.5842624	0.5057427	0.4710477	0.3748915	0.6284968	0.6164902	1.0000050
800	0.7859019	0.4111582	0.8832403	0.6393323	0.4532512	0.5556278	0.3471727	0.5967091	0.6359941	1.0348059
850	0.8240053	0.4433006	0.9026333	0.5968246	0.4133379	0.5289238	0.3455822	0.6086516	0.6006550	0.9415335
900	0.7023612	0.4694193	0.9212586	0.5807464	0.3949968	0.5892435	0.3999839	0.5291356	0.5662092	1.0246739
950	0.7356813	0.4178954	0.8963921	0.6618089	0.4411907	0.5391576	0.4442835	0.6152733	0.6265886	0.9726842
1000	0.7412008	0.5319120	0.9271269	0.6936487	0.4436094	0.4873127	0.4651028	0.6284284	0.6202791	0.9631375

0	0.7539269	0.4139150	0.9302636	0.6738145	0.4390541	0.5160772	0.4887091	0.6212063	0.6415492	0.9756862
50	0.6896351	0.4788986	1.0175594	0.5974779	0.3813517	0.4278898	0.5842414	0.2360173	0.7056983	0.9513366
100	0.6981524	0.5435280	0.9463800	0.6418310	0.5252168	0.2899877	0.8081504	0.1004267	0.6573493	0.9633183
150	0.7061645	0.6252825	0.9975791	0.6935332	0.5996091	0.1828963	0.9187527	0.0732934	0.7091477	0.9429827
200	0.6565869	0.4926992	1.0452833	0.8720430	0.7782345	0.1601630	0.9605397	0.0548962	0.6375403	1.0040127
250	0.6241614	0.5143445	0.9218211	0.7814327	0.7191065	0.1156857	1.0002223	0.1004967	0.5867363	1.0425869
300	0.7049743	0.5260832	1.0057890	0.7517908	0.7398549	0.1234343	0.9366508	0.0976028	0.6718776	1.0180771
350	0.6963113	0.5051654	0.9736559	0.7732386	0.7281694	0.0947550	1.0048438	0.0868368	0.6795589	0.9525229
400	0.7778570	0.4591911	0.9761503	0.8535925	0.6937979	0.1077365	1.0053388	0.0759740	0.6593330	0.9289656
