"Time"	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C

0	0.7540856	0.6480302	0.6871089	0.6854368	0.0407760	0.0394590	0.0404852	0.2421910	0.6514125	0.6814357
50	0.6839224	0.5374676	0.7156630	0.7429960	0.0505608	0.1408243	0.0598894	0.1984261	0.4444231	0.7116726
100	0.8462691	0.5875542	0.6769038	0.7195805	0.0342336	0.1574962	0.0661225	0.3015931	0.2872772	0.7822937
150	0.5753878	0.6823555	0.6622867	0.6846820	0.0525969	0.2912078	0.0930085	0.3949855	0.3112153	0.7643390
200	0.7685530	0.6974348	0.6877336	0.5352798	0.0795294	0.1738163	0.2905932	0.4544056	0.2255602	0.7873494
250	0.7532083	0.6829515	0.6850148	0.5494716	0.1552455	0.3816185	0.4279886	0.5572386	0.2934304	0.5745353
300	0.6493461	0.6758949	0.6220438	0.6028552	0.1853291	0.6255020	0.4025940	0.6400774	0.2621709	0.5810498
350	0.6778717	0.6737692	0.6398920	0.4033888	0.2928297	0.5935913	0.5982370	0.6108452	0.3159185	0.4041138
400	0.7029590	0.6114947	0.5834656	0.3981862	0.2692372	0.5166214	0.5831425	0.6353905	0.2676487	0.2988582
450	0.7511072	0.6888053	0.6879140	0.3489401	0.2534098	0.6955452	0.5774757	0.5712890	0.1821998	0.2327705
500	0.6571290	0.6752315	0.8014862	0.3219872	0.3192200	0.5976088	0.4902080	0.7078455	0.2991627	0.2320366
550	0.6570014	0.5263581	0.7056891	0.4570784	0.3859093	0.7434503	0.5161883	0.6953300	0.3688980	0.3051066
600	0.9057008	0.6050084	0.7247674	0.3889968	0.3302867	0.4284198	0.6289662	0.6462946	0.4972983	0.2504187
650	0.6781324	0.5320984	0.6516810	0.3434278	0.2690628	0.5509893	0.3764162	0.3932794	0.4270684	0.2311604
700	0.5872733	0.4364296	0.7177284	0.5106306	0.2461188	0.5872138	0.3556330	0.4078978	0.5991301	0.2981076
750	0.6123803	0.5347799	0.5883659	0.4862253	0.2407124	0.4635003	0.1953470	0.3978128	0.5669861	0.5046863
800	0.8040702	0.6242183	0.7722163	0.7098669	0.1056978	0.3257941	0.1053762	0.2708653	0.6615923	0.6484019
850	0.7699308	0.6672447	0.6921892	0.5749854	0.0789231	0.2746639	0.0656440	0.2003727	0.5807335	0.7016975
900	0.6924411	0.6656637	0.6995688	0.7449365	0.0330145	0.1055692	0.0338543	0.1705480	0.6125403	0.7095709
950	0.8582696	0.6637366	0.6915276	0.6356824	0.0361333	0.0313090	0.0176242	0.2020307	0.4959838	0.8524550
1000	0.7634264	0.7164850	0.6187265	0.5981963	0.0674566	0.0186839	0.0368228	0.1892047	0.7505994	0.8535488

0	0.7050179	0.6049081	0.7527408	0.7967418	0.0251766	0.0420087	0.0764131	0.2122437	0.5989459	0.6973873
