YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C
0.0012701	0.3224289	0.2913392	0.6479557	0.5875341	0.7596066	0.6808817	0.5679264	0.1650450	0.6444480
0.0470641	0.1312751	0.3681211	0.4785732	0.3857410	0.7377809	0.8257453	0.3098671	0.1927737	0.7684823
0.1275531	0.4112600	0.2121402	0.8141521	0.3323938	0.8228567	0.7052625	0.9551998	0.2423198	0.4058886
0.0614802	0.2612720	0.2964883	0.6122800	0.4350913	0.7365718	0.7553264	0.2996225	0.1041356	0.7155328
0.0887841	0.4541462	0.4200460	0.7378929	0.5668041	0.9165245	0.6096867	0.4508039	0.1078300	0.6334765
0.0015315	0.3653084	0.3529977	0.6449891	0.4515283	0.5972458	0.4322178	0.1367134	0.0937142	0.6253822
0.0712088	0.2824532	0.4301653	0.7497021	0.3501015	0.7775342	0.6535076	0.5269798	0.2367569	0.6406667
0.1587907	0.3718780	0.3128258	0.6303878	0.2999128	0.8971296	0.8761227	0.5830920	0.1957221	0.5187792
0.1416775	0.3749453	0.2947692	0.8808825	0.5147299	0.7249724	0.8944690	0.4810267	0.2159083	0.3813087
0.1752883	0.1881546	0.3848014	0.5868801	0.4532498	0.7047747	0.7151321	0.3202962	0.1466376	0.7906163
