"Time"	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W

0	0.2121503	0.4017928	0.5413688	0.5351565	0.7617438	0.1451997	0.1170880	0.0608684	0.0522615	0.2277437
50	0.0475754	0.4751530	0.4621942	0.4654576	0.5800494	0.1599551	0.0691853	0.0512329	0.1712550	0.2374305
100	0.1771098	0.5108834	0.4697174	0.3077607	0.7481995	0.1138575	0.1000739	0.0485430	0.3126360	0.2423140
150	0.1720108	0.4899189	0.5236840	0.6054704	0.8452163	0.1144772	0.0629567	0.1322446	0.3170296	0.2360970
200	0.1722586	0.5453061	0.5338787	0.5864788	0.7537380	0.1104578	0.1473675	0.1433683	0.3313575	0.1748418
250	0.1566122	0.5386110	0.4898418	0.5213255	0.7994865	0.1365119	0.1355256	0.2125619	0.3136944	0.2020975
300	0.2361045	0.5464190	0.6352791	0.4334642	0.5742568	0.0899018	0.0793537	0.1746003	0.3068407	0.2551344
350	0.2584153	0.4723286	0.6172425	0.4470967	0.7959634	0.0690796	0.0864970	0.1541463	0.3289177	0.2147838
400	0.3326819	0.5331716	0.5144075	0.4814825	0.7279964	0.1146258	0.1184233	0.1586644	0.4304976	0.1706129
450	0.3461661	0.6196148	0.5054617	0.5004725	0.7918647	0.0863013	0.1458852	0.1331940	0.3298767	0.1518025
500	0.2969332	0.6455825	0.5988003	0.4952960	0.7844062	0.1309372	0.0770621	0.2113669	0.3321495	0.2468001
550	0.2734737	0.5539446	0.5469954	0.4716728	0.7767229	0.1024293	0.1173705	0.1937849	0.1224100	0.2206262
600	0.2176117	0.4074469	0.4349563	0.5125125	0.6713796	0.1235792	0.1456514	0.0825505	0.0628307	0.1786249
650	0.1388693	0.3607073	0.4726083	0.4365633	0.7391275	0.1090725	0.0744759	0.0908148	0.0316013	0.1853940
700	0.1012160	0.2587677	0.4682863	0.4498304	0.8025058	0.1178190	0.1086090	0.0970711	0.0581397	0.1949845
750	0.0803359	0.4076526	0.5026738	0.5188710	0.9067635	0.1072664	0.0725954	0.1134064	0.0672362	0.3609895
800	0.0485935	0.4051898	0.4858120	0.5850957	0.9473287	0.1143065	0.1012178	0.0499123	0.0713248	0.2997478
850	0.0717662	0.4188693	0.5394593	0.4689749	0.7557166	0.2543757	0.0832089	0.0395299	0.1371749	0.3688183
900	0.0891276	0.3941446	0.5088392	0.4282171	0.7276952	0.1529689	0.0959247	0.0450635	0.1581218	0.2735614
950	0.0942624	0.3698978	0.6214020	0.5360026	0.9304374	0.1277279	0.0890753	0.0537523	0.0990321	0.2875481
1000	0.0698511	0.3272039	0.5601166	0.5445251	0.8245627	0.1813116	0.1043162	0.0366154	0.0661363	0.2606278

0	0.1146886	0.4266889	0.5074565	0.4132228	0.7320556	0.1956777	0.0600066	0.0581268	0.0501777	0.1772720
50	0.3788168	0.4552675	0.4703491	0.4748287	0.5997252	0.1094113	0.0803740	0.0698936	0.2355055	0.5117117
100	0.4601811	0.6034326	0.4756936	0.5569021	0.4765571	0.0968171	0.1259848	0.1546635	0.4053165	0.4729636
150	0.4361178	0.4664263	0.5885666	0.6420727	0.4260999	0.1080371	0.0802975	0.2689249	0.4621267	0.5268220
200	0.5226825	0.4428883	0.5585189	0.7205647	0.4966169	0.1890096	0.1327886	0.3441134	0.6085467	0.6477229
250	0.5486359	0.3860725	0.5782222	0.6264176	0.3610979	0.1375523	0.1863364	0.4254262	0.5903411	0.7137563
300	0.4416828	0.4666771	0.5930586	0.5816565	0.4046862	0.1935290	0.2586124	0.4473030	0.6149461	0.6605698
350	0.5323173	0.5093637	0.5039497	0.8096446	0.3805291	0.3037522	0.3111290	0.4552287	0.6551727	0.7811872
400	0.3907969	0.4689745	0.6275051	0.7583120	0.3742187	0.2583696	0.3043070	0.5311864	0.6926544	0.6636256
450	0.5998363	0.7336842	0.8142924	0.6605095	0.3288134	0.4107615	0.3557593	0.6135465	0.6076295	0.6201472
500	0.5662390	0.6242277	0.5905263	0.7611716	0.2347155	0.3359119	0.3006935	0.5172142	0.6811520	0.8497598
550	0.5241488	0.5590608	0.5858125	0.8530240	0.3972691	0.3060778	0.2813104	0.5074333	0.5035786	0.7736975
600	0.3118590	0.7270357	0.6096113	0.7166547	0.4572943	0.3509941	0.3151485	0.4391526	0.5985816	0.6478649
650	0.3546286	0.5917126	0.6263674	0.6325368	0.4421260	0.2604540	0.3349154	0.4938628	0.6328019	0.5633390
700	0.4276682	0.4973266	0.6245279	0.6309838	0.4960669	0.3064027	0.3589355	0.4378487	0.4631563	0.6603213
750	0.3447579	0.6360885	0.7250865	0.7014480	0.5853993	0.2718227	0.2257405	0.4805272	0.4721341	0.6086312
800	0.4807885	0.6471971	0.7240742	0.6030074	0.5301175	0.3110947	0.1668224	0.3426606	0.4660479	0.4939605
850	0.4687651	0.4973095	0.6826948	0.7512511	0.5974027	0.2335290	0.2166347	0.3645602	0.3513430	0.7374081
900	0.3967714	0.6007733	0.6353166	0.7355069	0.5990911	0.2309867	0.3203544	0.2722155	0.3875469	0.4313549
950	0.2948772	0.5085026	0.6704178	0.5841904	0.5537675	0.2988135	0.1890992	0.2813995	0.3900615	0.4047800
1000	0.2484478	0.4774263	0.4904899	0.5663575	0.5742837	0.2821344	0.2342910	0.3283139	0.2483368	0.4338669

0	0.1176846	0.5311568	0.5370246	0.4777102	0.6534530	0.1125099	0.0473130	0.0615367	0.0704318	0.1576369
50	0.0769412	0.2420296	0.4159520	0.2698625	0.8510203	0.1311305	0.0611755	0.0408234	0.1567139	0.9170205
100	0.0846210	0.2707274	0.3444720	0.2601976	0.7875597	0.1176405	0.0903666	0.1014364	0.2891265	0.9602982
