YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C
0.0654606	0.0496124	0.0923959	0.5982897	0.0368341	0.0044252	0.1360049	0.5562308	0.1639905	0.6235272
0.3747815	0.0000506	0.2202663	0.3841273	0.0485383	0.0040387	0.1381176	0.1810487	0.1050300	0.6094587
0.0955560	0.0517059	0.0148731	0.7100760	0.0462784	0.0299606	0.1270480	0.3583236	0.1570491	0.6620648
0.0025941	0.0031178	0.2795332	0.0210626	0.3977134	0.0530416	0.1817849	0.2007287	0.1821263	0.7071007
0.1472721	0.2260628	0.2620066	0.0154293	0.3721594	0.0233102	0.0452349	0.3758773	0.0751398	0.5430336
0.2269184	0.1472421	0.1760506	0.4274306	0.0222013	0.0348959	0.1964372	0.2220678	0.1904467	0.9009142
0.1107728	0.0013231	0.1760111	0.4923367	0.0594633	0.0930487	0.2086466	0.1814702	0.1060888	0.5646529
0.0615786	0.1101972	0.0215341	0.5960086	0.0368257	0.0615450	0.0761506	0.3712139	0.1848361	0.7746993
0.0002114	0.0012658	0.0008087	0.4985209	0.0008005	0.0579575	0.1830350	0.4025659	0.1829874	0.7519149
0.1404227	0.0013239	0.2259940	0.7518480	0.0042300	0.0885005	0.1158858	0.5393125	0.1723255	0.7841598
