"Time"	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C

0	0.2053465	0.9822938	0.6078992	0.4547329	0.7577674	1.0148736	0.2167062	0.4715449	1.0862479	1.0132824
50	0.1943947	0.9562997	0.5570927	0.3377212	0.8819852	1.0180741	0.2425710	0.4287255	0.9107025	0.4179537
100	0.1885810	0.9378923	0.5770682	0.3292379	0.9754628	1.0280073	0.2599162	0.5472538	0.9955585	0.2642058
150	0.1902298	1.0381362	0.5200303	0.3135107	0.9454466	0.9100535	0.1784986	0.5179173	1.0464808	0.2127599
200	0.1800221	1.0076164	0.3764779	0.2720018	0.9799587	0.9690838	0.1496735	0.4705977	0.9119453	0.1518987
250	0.1481557	1.0142213	0.3395104	0.2246802	0.9707477	0.9128983	0.1719515	0.4944867	0.8927337	0.1512636
300	0.1617132	0.9367798	0.2781751	0.2481481	0.9611617	1.0352251	0.2163894	0.5248974	1.0632300	0.1544496
350	0.1613302	0.9938218	0.2386635	0.2103944	1.0009380	0.8940158	0.1608263	0.4582733	0.9761437	0.1435562
400	0.1591761	0.9398742	0.2083351	0.2365944	0.9542919	0.9986932	0.2681205	0.4790196	0.8854317	0.1468319
450	0.1699293	0.9395268	0.1880589	0.2404478	0.9428847	0.9526285	0.2459473	0.4402665	0.8485762	0.1647153
500	0.1941594	0.9223567	0.1339186	0.2432552	0.9948520	0.5674021	0.1991585	0.5008720	0.7690400	0.1429342
550	0.2006656	0.8516299	0.1946287	0.2843279	0.5655273	0.4468120	0.2391516	0.4867927	0.9237382	0.7252560
600	0.2670949	0.8366438	0.2173764	0.4411206	0.2518963	0.5487626	0.2075407	0.5008336	1.0485760	0.9201346
650	0.2858815	0.8906390	0.4505460	0.7502341	0.2791913	0.9976935	0.2198218	0.4178042	1.0056223	1.0378065
700	0.2642842	0.9257433	0.7873452	0.7689665	0.3991237	1.0757374	0.2744863	0.4430204	1.0323186	0.9589713
750	0.2833249	1.0347580	0.8973896	0.6717698	0.6438653	1.0363426	0.3217789	0.4558161	1.0062554	1.0012188
800	0.2203774	1.0186216	0.9055885	0.5747466	0.6507082	0.9712340	0.2382030	0.4604761	0.9189442	1.0099350
850	0.2432978	1.0345182	0.8899266	0.5366146	0.5751295	0.9581714	0.2775190	0.4335551	1.0936367	0.9855565
900	0.2162205	0.9541560	0.8631175	0.5654129	0.6547202	0.9799789	0.2476903	0.4497970	0.9700841	0.8660285
950	0.2071886	1.0192146	0.7798974	0.4833055	0.7217193	0.9469505	0.2099123	0.5269784	0.9591516	0.9648912
1000	0.2409651	1.0115084	0.7388601	0.4124366	0.7282072	1.0061739	0.1877003	0.5315445	0.9361476	1.0342747

0	0.2053465	0.9822938	0.6078992	0.4547329	0.7577674	1.0148736	0.2167062	0.4715449	1.0862479	1.0132824
50	0.2110665	0.9469738	0.6939756	0.4283242	0.7044033	0.9909001	0.3247428	0.4635889	0.9626734	0.9007614
100	0.2057874	0.9980810	0.7394305	0.4708789	0.6627331	1.0519316	0.2913497	0.4383788	1.0320769	0.9837649
150	0.1791448	0.9480454	0.9330462	0.4355631	0.6822814	1.0582006	0.2983185	0.4370363	1.0560946	1.0241286
200	0.2171291	0.9701505	0.9456253	0.3766831	0.6265104	1.0588190	0.2572089	0.4772856	0.9483186	1.0439378
250	0.2116204	0.9908334	0.8718054	0.4483146	0.6029474	1.0844068	0.2111524	0.5227314	0.9921639	0.9275170
300	0.2230603	1.0532051	0.8142570	0.4991219	0.6564970	1.0093484	0.1663190	0.4985118	0.8960443	0.9701648
350	0.2525685	1.0264525	0.8103796	0.4420132	0.7636447	1.0206684	0.2161132	0.4186827	1.0107342	0.9946547
400	0.2396554	0.9356638	0.8353310	0.4131990	0.7400163	0.9696681	0.2131404	0.4222167	1.0075300	1.0062910
450	0.2131741	0.9951983	0.7268713	0.3810757	0.7741118	1.0759650	0.2568124	0.4893932	0.9111765	0.9577455
500	0.2433941	1.0487833	0.7673700	0.3714496	0.7135879	0.9444351	0.2523520	0.4751472	0.9780689	0.9671864
550	0.2291015	1.0163026	0.6365273	0.4010372	0.6604211	0.9839465	0.2560425	0.3945004	1.0351863	0.9638398
