"Time"	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C

0	0.0658042	0.2749990	0.8498652	0.5386469	0.9977809	0.5483684	0.8908695	0.9894149	0.0973203	1.0000000
50	0.0691540	0.3398744	0.8498656	0.5386440	0.9977136	0.4765709	0.4681470	0.9894149	0.0973203	1.0000000
100	0.0808286	0.3663130	0.8498703	0.5385893	0.9965670	0.2837534	0.3294509	0.9894149	0.0973203	1.0000000
150	0.0948500	0.3771187	0.8499339	0.5380838	0.9897379	0.1461298	0.2874912	0.9894149	0.0973203	1.0000000
200	0.1060102	0.3817595	0.8503928	0.5351445	0.9551912	0.0799956	0.2735146	0.9894149	0.0973203	1.0000000
250	0.1132474	0.3849693	0.8528943	0.5208296	0.8249678	0.0514318	0.2686255	0.9894149	0.0973203	1.0000000
300	0.1180352	0.3922999	0.8635928	0.4706539	0.5765622	0.0394986	0.2669055	0.9894149	0.0973203	1.0000000
350	0.1238102	0.4154264	0.8932352	0.3663033	0.3524744	0.0345781	0.2663003	0.9894149	0.0973203	1.0000000
400	0.1377876	0.4689802	0.9384659	0.2414167	0.2259885	0.0325629	0.2660873	0.9894149	0.0973203	1.0000000
450	0.1718940	0.5463352	0.9750149	0.1456723	0.1678610	0.0317417	0.2660123	0.9894149	0.0973203	1.0000000
500	0.2325164	0.6144055	0.9922478	0.0902235	0.1431283	0.0314084	0.2659859	0.9894149	0.0973203	1.0000000
550	0.2862201	0.5913743	0.9978963	0.0625517	0.1407819	0.0450173	0.7416700	0.9894149	0.0973203	1.0000000
600	0.2886347	0.5861430	0.9994171	0.0545371	0.3781031	0.1600039	0.9090828	0.9894149	0.0973203	1.0000000
650	0.2712397	0.5848812	0.9997169	0.1140516	0.7988406	0.3469220	0.9679371	0.9894149	0.0973203	1.0000000
700	0.2559960	0.5798485	0.9984122	0.2623348	0.9470832	0.4934926	0.9855453	0.9894149	0.0973203	1.0000000
750	0.2446082	0.5485816	0.9877176	0.3926465	0.9854297	0.5776523	0.9691771	0.9894149	0.0973203	1.0000000
800	0.2284392	0.4805076	0.9585802	0.4698160	0.9950701	0.6086714	0.9172279	0.9894149	0.0973203	1.0000000
850	0.1987684	0.4071878	0.9207980	0.5084297	0.9975101	0.5965584	0.8647567	0.9894149	0.0973203	1.0000000
900	0.1594034	0.3519144	0.8896288	0.5260767	0.9980341	0.5613435	0.8471591	0.9894149	0.0973203	1.0000000
950	0.1234436	0.3169207	0.8698811	0.5336639	0.9979616	0.5314617	0.8629321	0.9894149	0.0973203	1.0000000
1000	0.0982755	0.2967964	0.8591975	0.5367463	0.9977299	0.5232176	0.8874773	0.9894149	0.0973203	1.0000000

0	0.0658042	0.2749990	0.8498652	0.5386469	0.9977809	0.5483684	0.8908695	0.9894149	0.0973203	1.0000000
50	0.0411270	0.2750543	0.8498656	0.5386450	0.9977806	0.5489032	0.8937705	0.9059501	0.0470319	1.0000000
100	0.0340147	0.2752005	0.8498665	0.5386440	0.9977863	0.5510720	0.8995210	0.8897109	0.0398984	1.0000000
150	0.0319808	0.2753250	0.8498672	0.5386455	0.9978060	0.5550670	0.9024886	0.8868999	0.0388865	1.0000000
200	0.0314140	0.2753962	0.8498662	0.5386518	0.9978400	0.5587779	0.9019913	0.8865168	0.0387429	1.0000000
250	0.0312667	0.2754284	0.8498623	0.5386638	0.9978752	0.5605400	0.8997719	0.8865171	0.0387226	1.0000000
300	0.0312352	0.2754387	0.8498549	0.5386788	0.9978980	0.5602764	0.8977470	0.8865503	0.0387197	1.0000000
350	0.0312323	0.2754378	0.8498452	0.5386920	0.9979041	0.5589866	0.8969186	0.8865711	0.0387193	1.0000000
400	0.0312338	0.2754325	0.8498358	0.5387001	0.9978981	0.5577911	0.8972193	0.8865811	0.0387192	1.0000000
