"Time"	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W

0	0.1681509	0.6437515	0.9642590	0.0699707	0.1622209	0.8688247	0.9849418	0.0562360	0.2420472	0.1275694
50	0.1463492	0.5992080	0.8025744	0.0562082	0.1242978	0.7491623	0.9074762	0.0493891	0.2498140	0.2499835
100	0.1394246	0.4922285	0.6633809	0.0456856	0.1412571	0.6579037	1.0078547	0.0394102	0.2590897	0.3351430
150	0.2028183	0.4093178	0.7185164	0.0623672	0.1930640	0.6049534	1.0614438	0.0324788	0.2942344	0.5093039
200	0.2949264	0.4019724	0.7280141	0.0785414	0.2721942	0.6026419	0.9730677	0.0517849	0.3257338	0.5492121
250	0.3113348	0.3557696	0.6946337	0.0863937	0.2870392	0.5170596	1.0827961	0.0718641	0.3214135	0.5186564
300	0.3968035	0.2551158	0.5476006	0.0538344	0.2987372	0.4721046	1.0507130	0.0483667	0.2916994	0.6231122
350	0.5184416	0.3126612	0.5766159	0.0637338	0.4207649	0.4856759	0.9298818	0.0662008	0.3577776	0.6302209
400	0.5531682	0.2787858	0.6052073	0.0714066	0.4383421	0.4490479	0.9420302	0.0522575	0.3577519	0.5945396
450	0.6566508	0.3147257	0.5823444	0.1180180	0.4694401	0.4386295	1.0034207	0.0820242	0.3785622	0.5445258
500	0.6217889	0.2692578	0.6005159	0.1561877	0.5967741	0.3998659	0.9668114	0.0702853	0.3328685	0.6044044
550	0.7243148	0.3254273	0.8758434	0.2006899	0.6563817	0.4623579	0.9701003	0.0259655	0.4251515	0.5757675
600	0.6160909	0.4809046	0.8850328	0.2526845	0.6563692	0.4233854	0.9787110	0.0638443	0.4564349	0.4718268
650	0.4334420	0.6228808	0.9512274	0.3060354	0.6379585	0.4258131	0.9374717	0.0392235	0.3816438	0.2819149
700	0.3649299	0.6703908	1.0308444	0.3037377	0.5194746	0.5787256	0.7885147	0.0450272	0.3346516	0.2273360
750	0.2219299	0.6455454	0.9871756	0.2044844	0.4035222	0.6209517	0.9319483	0.0687407	0.3219187	0.2137481
800	0.1742425	0.6573577	0.9511999	0.1425950	0.3087471	0.7759555	0.8795954	0.0585035	0.3229743	0.1600827
850	0.1415198	0.6112466	0.9234440	0.1091638	0.2081665	0.7318058	0.7917966	0.0358487	0.3027504	0.1583573
900	0.1028047	0.5519312	0.9544847	0.0667666	0.1257081	0.9286000	0.7482907	0.0376196	0.2781473	0.1383365
950	0.1718193	0.5952933	1.0451269	0.0434498	0.0922362	0.8939227	0.7827193	0.0788635	0.2738276	0.1661972
1000	0.1940291	0.6095458	0.9815536	0.0616851	0.0765360	0.8167729	0.9422711	0.0672237	0.2458002	0.1555584

0	0.1681509	0.6437515	0.9642590	0.0699707	0.1622209	0.8688247	0.9849418	0.0562360	0.2420472	0.1275694
50	0.1169476	0.6198273	0.8771838	0.0449231	0.0982541	0.9113284	0.9722911	0.0549369	0.2409240	0.1633471
100	0.0872739	0.7115901	1.0248947	0.0362941	0.0872536	0.8034737	0.9802822	0.0491706	0.2636463	0.1811845
150	0.1004121	0.6393763	0.8546446	0.0328403	0.1069784	0.7738513	0.8432342	0.0381400	0.2007665	0.1419223
200	0.1129392	0.6514543	0.8328644	0.0568976	0.1412881	0.8325749	1.0180328	0.0579642	0.1829063	0.1242688
250	0.1231967	0.6129407	0.8095237	0.0361959	0.1560712	0.8528131	0.8437680	0.0576557	0.2387760	0.1278598
300	0.1092123	0.6047780	0.8105091	0.0392654	0.1175407	0.8252769	0.9756220	0.0495133	0.2485932	0.1296145
350	0.1109021	0.5173384	0.8348223	0.0284432	0.1178810	0.7811648	0.8602039	0.0378063	0.2574604	0.1751782
400	0.1304516	0.4971748	0.8786826	0.0511302	0.1694927	0.7275214	0.7578991	0.0285087	0.2979870	0.1528544
450	0.1979186	0.4617867	0.9464368	0.0439254	0.1345569	0.7791698	0.7965313	0.0222474	0.3574298	0.1951601
500	0.2379673	0.4729844	0.8003021	0.0492632	0.1574881	0.7759726	0.9343396	0.0492517	0.3535010	0.1808718
550	0.3309137	0.4976964	0.8994204	0.0632105	0.1355879	0.8293448	0.9021776	0.0485007	0.3217133	0.2282233
600	0.2748721	0.5555020	1.0132299	0.0547545	0.0993686	0.7606009	0.9264694	0.0457283	0.3220662	0.2293293
650	0.2013891	0.6582576	1.0307924	0.0405654	0.1298335	0.8464852	0.9104883	0.0677937	0.3020185	0.2681962
700	0.1643673	0.6885051	0.9940632	0.0470057	0.1553660	0.7036297	0.9344551	0.0379924	0.2487611	0.2082392
750	0.1343000	0.7262488	0.9349778	0.0495201	0.1083634	0.6722058	0.9061501	0.0705700	0.2546929	0.1301393
800	0.1444908	0.6766068	1.0750209	0.0467265	0.1648699	0.7211964	0.8288032	0.0410292	0.3096524	0.1233191
850	0.1025042	0.6747707	0.9183902	0.0539317	0.1760160	0.7348433	0.8807779	0.0212557	0.3356183	0.1540885
900	0.0908699	0.7074755	0.9885533	0.0654980	0.1763429	0.8440281	0.8816379	0.0215197	0.2887356	0.1446965
950	0.1076395	0.6301153	0.9791354	0.0598625	0.1694549	0.8059121	0.8368312	0.0576665	0.2824645	0.1179266
1000	0.1013940	0.6251366	1.1302099	0.0601995	0.1438330	0.8873849	0.8695084	0.0599229	0.2686267	0.1001934

0	0.1681509	0.6437515	0.9642590	0.0699707	0.1622209	0.8688247	0.9849418	0.0562360	0.2420472	0.1275694
50	0.1479999	0.7460221	0.9565052	0.0784162	0.1202460	0.8894295	0.8300930	0.0166259	0.3303717	0.1371125
100	0.1280767	0.9673698	1.0149143	0.0548356	0.1261714	0.8565472	0.7573876	0.0044258	0.2807532	0.1085867
150	0.0956304	1.0824815	0.9962384	0.0633070	0.1203062	0.8605722	0.6584229	0.0056982	0.1950662	0.1466440
200	0.0516177	0.9901313	1.0380820	0.0534598	0.1156315	0.9038331	0.7500411	0.0041557	0.1684994	0.0995429
250	0.0381326	1.1430555	0.9369444	0.0585776	0.0947791	0.8721311	0.8202179	0.0111374	0.1230070	0.1156832
300	0.0417452	1.0788056	1.1991831	0.0410463	0.0848718	0.8123862	0.8135424	0.0186632	0.1263386	0.0860490
350	0.0475331	0.9970249	1.0684104	0.0662279	0.1354409	0.8342853	0.9247349	0.0328441	0.1602435	0.0950963
400	0.0327630	0.9798047	1.0114719	0.0456009	0.1184779	0.9148362	0.9335925	0.0073394	0.1284599	0.1597885
450	0.0468028	0.9011519	1.0112514	0.0637940	0.0762748	0.8824209	0.8802380	0.0124261	0.1766556	0.1042077
500	0.0488994	0.9113597	0.9351429	0.0864979	0.0840179	0.8793470	0.9337564	0.0124672	0.1569574	0.1073423
550	0.0798144	0.7609340	0.9934143	0.0563530	0.0948259	0.8614010	0.8421112	0.0299282	0.1676126	0.1150814
600	0.0633113	0.6559116	1.0470668	0.0598316	0.0830959	0.9449435	0.9031121	0.0442456	0.1700834	0.1274942
650	0.0652232	0.6130716	0.9484716	0.0457641	0.0817098	0.9459798	0.9546998	0.0658364	0.1890884	0.1147054
700	0.0803765	0.5320174	0.9565220	0.0410401	0.0905461	0.9358575	1.0908208	0.0615455	0.2400274	0.0845522
750	0.1341855	0.5482178	0.9710984	0.0498508	0.0781140	0.9218545	0.9569413	0.0817721	0.2676533	0.1509149
800	0.1521969	0.6020865	1.0632598	0.0605362	0.0970164	0.8508848	0.9065110	0.0879431	0.2675108	0.1693652
850	0.1360706	0.6847743	1.0598193	0.0642184	0.1200469	0.8380894	0.8710425	0.0540766	0.2759551	0.1467353
900	0.1092829	0.7021938	0.9086775	0.0582208	0.1170876	0.9141747	0.8866193	0.0421720	0.2124820	0.1375845
950	0.0996258	0.6893137	1.0319600	0.0716813	0.0795066	0.8932717	0.8784125	0.0452889	0.2421153	0.1344029
1000	0.1126010	0.5579058	0.9953721	0.0853086	0.0974236	0.8636807	0.8156521	0.0478565	0.2373868	0.1247911

0	0.1681509	0.6437515	0.9642590	0.0699707	0.1622209	0.8688247	0.9849418	0.0562360	0.2420472	0.1275694
50	0.1257246	0.6709377	0.9420926	0.2979686	0.1114491	0.8496211	0.8968952	0.0468625	0.2309111	0.2649911
100	0.0750046	0.6486551	0.8762026	0.5992697	0.1384299	0.8243176	0.8755425	0.0504912	0.2556862	0.3233449
150	0.0642333	0.5506391	0.6561309	0.6824520	0.1324648	0.7491432	0.8934474	0.0401265	0.2614112	0.3954811
200	0.0646648	0.4296812	0.6471395	0.7491622	0.1644300	0.6687325	0.9446204	0.0259817	0.2289952	0.4683723
250	0.0693757	0.3130307	0.5637524	0.7149171	0.1890747	0.5649904	1.0049422	0.0408291	0.2757397	0.6159387
300	0.0856949	0.2686372	0.5358760	0.8259430	0.3062753	0.4662904	0.9581847	0.0523909	0.3260607	0.5499354
350	0.1226429	0.2803917	0.4369308	0.9613138	0.4147599	0.3799326	0.9607572	0.0460719	0.4313378	0.5299877
400	0.1368856	0.1857110	0.4002057	0.8512436	0.4791376	0.3861316	0.9071559	0.0385758	0.4644733	0.6871003
450	0.1563845	0.1586464	0.3592641	0.7985005	0.6315588	0.3604550	0.9007596	0.0382449	0.4498354	0.7279492
500	0.2262368	0.0983685	0.4451819	0.8396399	0.6880322	0.3402373	1.0403431	0.0440252	0.4893960	0.6954301
550	0.4940064	0.1070093	0.4536653	0.6487329	0.6840306	0.3560363	1.0006449	0.0331105	0.5669311	0.7845977
600	0.7602916	0.1778802	0.6466388	0.5386289	0.7722426	0.3474416	0.9341706	0.0356921	0.6250119	0.7108633
650	0.8747451	0.2989355	0.6707078	0.4729736	0.7020836	0.3859293	0.9093925	0.0414817	0.5408467	0.6112675
700	0.7722586	0.3484608	0.8014269	0.4080476	0.6250602	0.3881763	0.9059200	0.0472853	0.4963552	0.4979787
750	0.7714133	0.5483264	1.0013069	0.3363735	0.6465796	0.4595784	0.9437202	0.0419099	0.3858374	0.2751993
800	0.5092802	0.6084523	0.9073578	0.2839813	0.4833629	0.5131864	0.9126989	0.0772842	0.3741491	0.3024315
850	0.3508766	0.5739553	1.1004923	0.1575157	0.4212501	0.5847906	0.8751934	0.0667287	0.2998573	0.1867742
900	0.2710741	0.5936793	1.0781989	0.1341351	0.3308285	0.6751605	0.8394847	0.0220197	0.2953861	0.1714900
950	0.1929787	0.6906234	1.0168837	0.0827235	0.2335333	0.7645516	0.7150127	0.0259385	0.2700962	0.1585251
1000	0.1905347	0.6294458	1.0274777	0.0553641	0.1586187	0.8325775	0.9242966	0.0337628	0.2499356	0.1610246

0	0.1681509	0.6437515	0.9642590	0.0699707	0.1622209	0.8688247	0.9849418	0.0562360	0.2420472	0.1275694
50	0.1860918	0.7763598	0.8001725	0.0987405	0.0744564	0.8175146	0.8663780	0.0239094	0.3080671	0.1562765
100	0.1487589	0.8855216	0.5918285	0.0917191	0.0594056	0.8678802	0.7564475	0.0193553	0.2352828	0.1308606
150	0.1059383	0.8224093	0.6014608	0.0817563	0.0526868	0.9023606	0.7713386	0.0026161	0.2473457	0.1393331
200	0.0866763	0.7976672	0.5679817	0.0628291	0.0496651	0.8500298	0.8350911	0.0015389	0.1940913	0.1649371
250	0.0681952	0.7961413	0.5545069	0.0347045	0.0664990	0.8568196	0.8517760	0.0053454	0.2298139	0.1925043
300	0.0649218	0.7815325	0.5644833	0.0279269	0.0662991	0.8045500	0.8786732	0.0061300	0.1961255	0.1760509
350	0.0631614	0.7091341	0.5923554	0.0484871	0.0847015	0.8546161	0.9330423	0.0003320	0.2097553	0.2069619
400	0.0759082	0.7606778	0.5303609	0.0559650	0.0616491	0.8452964	0.8693665	0.0000000	0.1888701	0.1663185
450	0.0835073	0.6925424	0.6589116	0.0559807	0.0794054	0.8045887	1.0013673	0.0059056	0.2268135	0.1873244
500	0.0792788	0.6146439	0.6289977	0.0514790	0.0965747	0.8136204	0.9242808	0.0029546	0.2363396	0.1871223
550	0.0804392	0.5426021	0.7199948	0.0354793	0.1132377	0.8365891	0.8355594	0.0073499	0.2563263	0.2051098
600	0.1327775	0.5144429	0.9674882	0.0570387	0.1461746	0.7719723	0.8980811	0.0244608	0.2881050	0.2255167
650	0.2061449	0.6219253	0.9452778	0.0707863	0.1751036	0.8424909	0.9884397	0.0334325	0.3433061	0.2094373
700	0.2044359	0.6014329	0.8030253	0.0625723	0.1363139	0.8810902	0.9321227	0.0330072	0.3035887	0.1817457
