YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C
0.0000436	0.0027443	0.0999188	0.3518621	0.0865267	0.8648316	0.7167766	0.3541248	0.2703084	0.6404348
0.8401721	0.8718198	0.6817146	0.0375921	0.1463922	0.7192155	0.7389610	0.3855532	0.5170712	0.7808933
0.7439130	0.7152033	0.7685869	0.0546959	0.0506240	0.7111026	0.7804058	0.5469073	0.4260994	0.8838991
0.8393724	0.7856057	0.7709858	0.0366998	0.1002829	0.8893040	0.7230911	0.3727924	0.4017884	0.7332504
0.7883351	0.7633537	0.7942510	0.0330917	0.1007519	0.8346083	0.7361051	0.6715337	0.1233723	0.7439626
0.6839182	0.3453268	0.4121299	0.2064688	0.0429937	0.7728379	0.6715094	0.6128666	0.2653668	0.7660251
0.8106690	0.7238844	0.5209027	0.0732958	0.1018899	0.8220704	0.6991325	0.4833096	0.3694118	0.8131888
0.6411920	0.5585277	0.5044049	0.0670898	0.0730340	0.8407030	0.8624673	0.3798268	0.4354532	0.7155463
0.7976673	0.7309690	0.6446548	0.0532223	0.1730412	0.7353313	0.7996261	0.4589217	0.4800826	0.6133951
0.7042049	0.2368770	0.2373968	0.2465692	0.0703089	0.6886556	0.7002229	0.2429813	0.5573139	0.6910997
