YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C
0.0000000	0.8362294	0.6980975	0.6105933	0.0539192	0.0445259	0.0308568	0.2316018	0.6058702	0.8102086
0.8242181	0.0000000	0.6723956	0.7812899	0.0140875	0.0351173	0.0150077	0.1645827	0.7225992	0.6461217
0.4934733	0.7693117	0.0000000	0.6491799	0.0375205	0.0246314	0.0425137	0.1886974	0.7866766	0.6823729
0.8122486	0.8266251	0.7874325	0.0000000	0.0410457	0.0648646	0.0443672	0.3071386	0.5939114	0.7506026
0.7921266	0.6205776	0.7297641	0.8153888	0.0000000	0.0386203	0.0353240	0.2392949	0.6381805	0.7038148
0.7698957	0.7105333	0.8671432	0.6542063	0.0309873	0.0000000	0.0398130	0.2056533	0.6422735	0.6035665
0.7218886	0.5429205	0.7442523	0.6662343	0.0147044	0.0174772	0.0000000	0.2094746	0.6020714	0.7597451
0.7167817	0.6595759	0.6263587	0.7850956	0.0228977	0.0303952	0.0374586	0.0000000	0.6222700	0.7854540
0.8164248	0.4029126	0.0336631	0.3309954	0.4570340	0.6883143	0.4911217	0.9539204	0.0000000	0.2590907
0.7013671	0.0878278	0.8725494	0.8011973	0.0451968	0.0207931	0.0306399	0.2150402	0.6991276	0.0000000
