YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W
0.0000000	0.0604225	0.0344490	0.7542099	0.6393424	0.8539312	0.0463414	0.7372851	0.0313948	0.9145799
0.7925970	0.0000000	0.0535530	0.7209097	0.7820998	0.7402121	0.0554431	0.7567356	0.0263531	0.7732189
0.2563832	0.7889171	0.0000000	0.6533968	0.5371452	0.7199423	0.6384591	0.6365170	0.0478265	0.9180922
0.7415466	0.0046947	0.6679364	0.0000000	0.6084363	0.7526571	0.0208165	0.7535507	0.0227407	0.7200225
0.7384418	0.0087685	0.0156980	0.4584481	0.0000000	0.7053459	0.0371102	0.8725410	0.0299006	0.7106465
0.8199249	0.0063032	0.5811082	0.0025554	0.0357010	0.0000000	0.0329670	0.8495461	0.0253471	0.7974499
0.8838538	0.0252957	0.0788356	0.6160710	0.7307141	0.9493950	0.0000000	0.7384232	0.0639046	0.7761845
0.5890567	0.0881049	0.0691892	0.7387669	0.6359873	0.8895450	0.0941819	0.0000000	0.0483813	0.8356506
0.8251395	0.0204455	0.0573486	0.7413168	0.7098594	0.8953134	0.0115760	0.7880966	0.0000000	0.7566557
0.6786415	0.0366208	0.0189645	0.8336622	0.7194698	0.6482396	0.5672183	0.1858105	0.6700298	0.0000000
