YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W
0.5020393	0.0619005	0.1200894	0.8665512	1.0294627	0.9801074	0.2331775	0.7910507	0.8693199	0.9474951
1.1206026	0.0226030	0.0993428	0.9905701	0.9477701	1.1118031	0.1812655	0.8591872	0.9116670	0.9987197
1.0724783	0.0523639	0.0565082	0.9765333	0.9957551	1.0911568	0.2480147	0.8412489	0.8341521	0.9659899
1.0069752	0.0439708	0.1407041	0.5736154	0.9379833	0.9917853	0.1669676	0.8934835	0.9346601	0.9910726
0.9854503	0.0441592	0.1005701	0.9721441	0.4665996	1.0243937	0.2363120	0.7787111	0.9238694	0.9866366
0.9664999	0.0469956	0.1056620	0.9750094	0.8458796	0.4514672	0.5363805	0.7492275	0.8658569	1.0612802
1.0203082	0.0261140	0.1084829	0.9458895	0.9646242	0.9649462	0.1154287	0.8654180	0.9083414	1.0417854
1.0360170	0.0324350	0.0956862	0.9389499	0.8423872	1.0317924	0.3033055	0.3161953	0.9128738	1.0531543
0.9498158	0.0601579	0.1022455	0.8701361	0.9904762	1.0477621	0.2674870	0.6280167	0.3879677	1.0828813
0.9855853	0.0414888	0.0997568	1.0965634	0.9930464	0.9616298	0.2481963	0.8069997	0.7317509	0.5447031
