YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C
0.1114639	0.4639925	0.6026088	0.6421944	0.3388686	0.7190038	0.2412737	0.5972432	0.1198278	0.7939758
0.1346978	0.2697637	0.5184208	0.5699124	0.2557020	0.8876949	0.1884134	0.6817812	0.0700185	0.7886205
0.2427057	0.6580291	0.2090276	0.5904924	0.2568693	0.8610989	0.1654439	0.8823081	0.0804536	0.6686971
0.4127268	0.6319106	0.3242917	0.4008030	0.2044536	0.7715246	0.4333357	0.6132284	0.0926378	0.7700231
0.4009120	0.3955650	0.4224510	0.6664303	0.1232204	0.6769027	0.1916865	0.7564526	0.1101985	0.8730252
0.3906250	0.4367408	0.4327934	0.7029042	0.4336574	0.4565997	0.1831292	0.8281361	0.0598377	0.7038705
0.3826006	0.4443025	0.4350587	0.5768025	0.2600537	0.7420119	0.1420512	0.7118616	0.0541778	0.8609756
0.4481544	0.4103948	0.3701113	0.5693800	0.3740150	0.5380290	0.5065334	0.2645348	0.0978314	0.7263241
0.2742610	0.3394317	0.6033591	0.6342772	0.2144645	0.7118911	0.1156007	0.6956223	0.0451503	0.7478568
0.4230450	0.4556335	0.5241296	0.6368756	0.2834955	0.7213013	0.1969655	0.6148425	0.0727662	0.4042499
