"Time"	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W

0	0.8353872	1.0918289	0.2921134	0.0653116	1.0165831	0.8311079	0.6714204	0.5530288	0.6430602	0.0763501
50	0.9667154	0.9986805	0.6244758	0.0807253	0.9659384	0.6242582	0.4895363	0.6701870	0.6205444	0.0703635
100	0.9128855	1.0078713	0.7286908	0.0740636	0.9610611	0.2175105	0.5831526	0.6260202	0.5371879	0.0644464
150	1.0157945	0.9852158	0.8013188	0.0950957	1.0102232	0.0875797	0.6703785	0.6248969	0.5726701	0.0765901
200	0.9644303	0.9924761	0.9948829	0.0868450	0.9830917	0.0367884	0.5815502	0.7091920	0.5347220	0.0843902
250	1.0109185	0.9872650	0.9350105	0.0837827	0.9661747	0.0219153	0.6276359	0.7575163	0.5549123	0.0481487
300	0.9894329	1.0586059	0.9080206	0.0716407	0.9990629	0.0036121	0.7033803	0.8117546	0.4890947	0.0477959
350	0.8897321	1.0008359	1.0075576	0.0764602	0.9856190	0.0044399	0.7711348	0.8614416	0.5022621	0.0543828
400	0.9556238	0.9760767	0.9431212	0.0875402	1.0342116	0.0021732	0.6947523	0.7346403	0.4809646	0.0554625
450	0.9577992	0.9656112	0.9439212	0.0849115	0.9382316	0.0031546	0.7075303	0.7521067	0.5557929	0.0547621
500	0.9418524	0.9544936	0.9603157	0.0559602	0.9192448	0.0049051	0.5760064	0.7353661	0.5390928	0.0935183
550	0.9818318	0.9761830	0.6817053	0.0493571	0.7765959	0.2959303	0.6085741	0.7529071	0.5449550	0.0796931
600	1.0102428	0.9872638	0.4694725	0.0738344	0.9026290	0.5435743	0.6957167	0.6855583	0.5598498	0.0628315
650	0.8825097	1.0352368	0.3907255	0.0819369	0.9311919	0.5786132	0.7305200	0.6978291	0.6063608	0.0420860
700	0.9069113	0.9596303	0.4698200	0.0804837	1.0353662	0.5701968	0.6608908	0.6322371	0.5129542	0.0568099
750	0.8991584	1.0195854	0.4396996	0.0686166	1.0480697	0.5702680	0.6427899	0.7263989	0.5857311	0.0679366
800	0.9619994	1.0074508	0.4180739	0.0514218	1.0477994	0.6711242	0.5733849	0.6526093	0.6307252	0.0616292
