YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C	YPL248C
0.3851880	0.3189992	0.2592327	1.0000000	1.0000000	0.5469474	1.0000000	1.0000000	1.0000000	1.0000000
0.7050544	0.2419943	0.2592327	1.0000000	1.0000000	0.5469474	1.0000000	1.0000000	1.0000000	1.0000000
0.7836385	0.3392647	0.1296167	1.0000000	1.0000000	0.5469474	1.0000000	1.0000000	1.0000000	1.0000000
0.8885088	0.6439374	0.4476079	0.5000050	1.0000000	0.5469474	1.0000000	1.0000000	1.0000000	1.0000000
0.8605906	0.5231953	0.2592327	1.0000000	0.5000879	0.5469474	1.0000000	1.0000000	1.0000000	1.0000000
0.8605870	0.5231923	0.2592327	1.0000000	1.0000000	0.2735000	1.0000000	1.0000000	1.0000000	1.0000000
0.8605906	0.5231953	0.2592327	1.0000000	1.0000000	0.3705317	0.5000257	1.0000000	1.0000000	1.0000000
0.8605893	0.5231942	0.2592327	1.0000000	1.0000000	0.5469474	1.0000000	0.5001487	1.0000000	1.0000000
0.8605893	0.5231942	0.2592327	1.0000000	1.0000000	0.5469474	1.0000000	1.0000000	0.5000730	1.0000000
0.8605870	0.5231923	0.2592327	1.0000000	1.0000000	0.5469474	1.0000000	1.0000000	1.0000000	0.5000465
