YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C
0.0000000	0.6226560	0.4696987	0.1037519	0.1865726	0.3926499	0.9541999	0.3168842	0.1744146	0.9889171
1.0899282	0.0000000	0.2898858	0.1693339	0.2385666	0.3987013	0.9520828	0.2104067	0.9667173	0.1867963
0.1549768	0.9862832	0.0065670	0.0863474	0.2119266	0.4364816	0.9794035	0.3532005	0.9433166	0.0584761
0.8446675	0.2791451	1.0166651	0.0000000	0.2354678	0.4539221	0.9228425	0.2740702	0.9694140	0.2794884
0.9699074	0.2794775	0.9695395	0.0262745	0.0000000	1.0723595	0.1915415	1.0132095	1.0335620	0.2000433
0.7707385	0.3825501	0.9125272	0.0357505	0.1223400	0.0000000	0.7002906	0.5156426	0.9970204	0.3027105
0.2176526	1.0213967	0.0316641	0.7533813	0.6310891	0.9673557	0.0000000	0.1147176	0.9471433	0.1105851
0.7527773	0.3827395	0.6027421	0.1733303	0.1813376	0.4007629	0.9761683	0.0000000	0.9522258	0.3341910
0.3933075	0.6191043	0.6269026	0.0658458	0.1461452	0.3929612	1.0809923	0.3816109	0.0000000	0.4542154
0.7071522	0.4552826	0.5165378	0.1367627	0.2318623	0.5643491	0.9411532	0.2494285	0.9901180	0.0000000
