YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W
0.0000000	0.3626229	0.6581950	0.5221784	0.6915809	0.3523197	0.6990615	0.6163872	0.2426536	0.5598512
0.0978953	0.0000000	0.6663528	0.6095680	0.7425082	0.4290997	0.7414239	0.5115664	0.2940630	0.4336342
0.5182324	0.7621498	0.0000000	0.5417784	0.7739793	0.3845548	0.8082396	0.4714740	0.2973183	0.5712250
0.3146529	0.5639655	0.4554611	0.0000000	0.3244177	0.8131070	0.4418955	0.4392023	0.3470366	0.5599112
0.3288528	0.5362213	0.7252280	0.5828282	0.0000000	0.4857591	0.7751322	0.6912380	0.5112496	0.4118349
0.3395564	0.3356629	0.7306484	0.8898038	0.7952897	0.0000000	0.9095327	0.5520437	0.2856393	0.5865136
0.3711176	0.8307715	0.0688081	0.7632865	0.6711644	0.0344748	0.0000000	0.6059182	0.3498080	0.4808937
0.3016297	0.4023666	0.4606853	0.6446433	0.5781236	0.5260966	0.3313210	0.0000000	0.3891196	0.6068965
0.0477291	0.0046222	0.5859772	0.5528008	0.6955172	0.5442742	0.5073202	0.0168191	0.0000000	0.6351558
0.0897847	0.0891930	0.5327052	0.5556465	0.5977268	0.3662473	0.4503621	0.0049262	0.0800177	0.0000000
