YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W
0.0000000	0.6921182	0.2593411	0.6880638	0.5322410	0.4853346	0.5356425	0.8695424	0.7025026	0.2713341
0.9999993	0.0000024	0.1155166	1.0000000	0.4630048	0.5590896	0.4332938	0.0241669	0.6080044	0.3245681
0.9998096	0.0038161	0.0000001	1.0000000	0.4630048	0.5590896	0.4332938	0.0241676	0.6080044	0.3245681
0.3012538	0.8940083	0.4282918	0.0000024	0.4629978	0.5590982	0.4332888	0.0354875	0.6080144	0.3245665
0.6303741	0.3853067	0.1595325	0.9999999	0.0000000	0.2828957	1.0000000	0.0296072	0.9118958	0.1457039
0.3410438	0.7947395	0.3187556	0.9999999	0.4630000	0.0000000	0.4332924	0.0303334	0.9769657	0.0807064
0.8416515	0.1988856	0.1118740	0.9999999	0.0023606	0.9999996	0.0000000	0.0280245	0.2678286	0.6110921
0.8257808	0.2124777	0.1155173	1.0000000	0.4629894	0.5591099	0.4332660	0.0000010	0.6080331	0.3245572
0.8257781	0.2124788	0.1155166	0.9999999	0.4630049	0.5590896	0.4332938	0.0281129	0.0000045	0.3245681
0.2788317	0.9604969	0.6399529	0.9999998	0.4629978	0.5590982	0.4332887	0.0341990	0.9999995	0.0000000
