YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W
0.0000000	0.0477936	0.0975621	0.9929979	0.9950187	1.0171544	0.2707225	0.8379848	0.8675493	0.9426518
1.0028912	0.0000000	0.0856433	1.0835099	1.0285846	0.9915838	0.3003729	0.8716946	0.9023289	1.1141773
0.9723558	0.0471743	0.0000000	0.9202357	0.9438889	1.0246804	0.2893620	0.7465572	0.9691156	0.9997622
0.3718436	0.8408962	1.0439184	0.0000000	0.9858372	0.9347758	0.0416463	0.8969531	0.9467318	0.9943196
0.4370827	0.9027413	0.9389050	0.0311033	0.0000000	0.9836501	0.0384000	0.3868569	0.0923813	0.0462163
1.0262929	0.1429324	0.3413027	0.2522009	0.0261328	0.0000000	0.3084865	0.7165541	0.6153921	0.2816962
1.0610752	0.0501016	0.1059141	0.9971678	0.9980312	0.8955028	0.0000000	0.9223598	0.9607115	1.0732189
1.0358164	0.0439563	0.0902756	1.0214725	0.9568536	1.0757631	0.1911893	0.0000000	0.8861525	1.0717601
0.9699016	0.0387879	0.0638342	1.1163461	0.9143898	1.1353255	0.2216025	0.2676117	0.0000000	1.0405258
0.9832131	0.0338113	0.0951239	0.9341080	0.8822134	0.9534793	0.3026623	0.2529087	0.0173374	0.0000000
