YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W
0.0754596	0.5374449	0.6936874	0.6056515	0.8708536	0.2033805	0.3366049	0.2330014	0.1808902	0.2449194
0.7356999	0.9450794	0.9993500	0.9680898	0.2307041	0.5879480	0.4572954	0.5130106	0.6897347	0.9047919
0.1918202	0.2026285	0.5046408	0.4111823	0.9991065	0.0217577	0.1057573	0.0000003	0.0040533	0.0516107
0.4463907	0.8181267	0.9349679	0.5650025	0.9462085	0.1332591	0.0210831	0.1056752	0.0427370	0.1912496
0.0000293	0.0005617	0.1432168	0.5854082	0.9092292	0.1195286	0.1922156	0.3030734	0.1151379	0.2176151
0.1804250	0.6299301	0.7526816	0.6148910	0.8579059	0.2134396	0.0013503	0.0398129	0.2324510	0.4603913
0.5036373	0.7706374	0.8673546	0.5760284	0.9260344	0.0594102	0.1456713	0.3902698	0.0376150	0.2052330
0.5208768	0.7391162	0.8415145	0.5072258	0.8969354	0.1102011	0.0819378	0.2987549	0.0412785	0.2363863
0.4263000	0.8053982	0.8317907	0.4930305	0.8653474	0.0000012	0.0000000	0.0000149	0.0176116	0.1750714
0.3989181	0.7024071	0.8083649	0.8046249	0.5557259	0.1511763	0.2191880	0.5239829	0.5524112	0.5332647
