YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C
0.3445811	0.1804264	1.0759071	0.1292181	0.4117405	1.0166833	0.0245428	0.6381211	0.1870798	0.0629326
0.9656268	0.1133522	1.0481014	0.3672049	0.5135923	0.9784355	0.0743936	0.6713303	0.1358226	0.0290651
0.2728313	0.6584944	0.5900915	0.0981390	0.4555724	1.0871534	0.0112471	0.7158568	0.1721564	0.0639629
0.6851490	0.1798446	1.0581973	0.1754196	0.4555727	0.9978336	0.0467981	0.6697829	0.1381941	0.0597453
0.7556972	0.1094875	1.0258961	0.2815937	0.3013129	1.0251560	0.0283476	0.7527629	0.1553317	0.0576530
0.6326267	0.2238471	0.9943278	0.2822743	0.3459389	0.5434490	0.0238387	0.7216632	0.1406939	0.0394963
0.6169321	0.1767634	1.0555604	0.2994360	0.5199853	1.0429358	0.0193758	0.6963938	0.1955634	0.0507831
0.7182674	0.1737074	0.9432951	0.3381851	0.5386957	1.0854752	0.0127600	0.3812332	0.2112736	0.0658138
0.7288891	0.1424966	1.0339689	0.4532532	0.5966440	1.1025846	0.0153926	0.5485756	0.1070701	0.0816234
0.6955287	0.1160501	1.1878683	0.3289914	0.6166401	1.0414457	0.0202579	0.6970807	0.1124678	0.0363981
