YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C
0.0000024	0.4252243	0.0435913	0.9999903	0.0633458	0.8590502	0.4420211	0.1596331	0.0221351	0.0377056
0.0167851	0.0000001	0.0435913	0.9999903	0.0633458	0.8590501	0.4420211	0.1596331	0.0221351	0.0377056
0.1346063	0.4052915	0.0000027	0.9999904	0.0628899	0.8620447	0.4373684	0.1565900	0.0219755	0.0377047
0.8749921	1.0000000	0.9999991	0.0000004	0.0956822	0.6346825	0.7447244	0.5503774	0.0344579	0.0378323
0.1579785	0.4252212	0.0435909	1.0000000	0.0000019	0.8590501	0.4420211	0.1596331	0.0221351	0.0377056
0.1580730	0.4253015	0.0436027	0.9997549	0.8793670	0.0000022	0.4420235	0.1596354	0.0221352	0.0377056
0.1579782	0.4252211	0.0435909	1.0000000	0.0009111	0.9999998	0.0000024	0.1596330	0.0221351	0.0377056
0.1579782	0.4252211	0.0435909	1.0000000	0.0044904	0.9963920	0.0915613	0.0000001	0.0221351	0.0377056
0.1579798	0.4252224	0.0435911	0.9999963	0.0397635	0.9540797	0.2662423	0.0678979	0.0000000	0.0376631
0.1579782	0.4252211	0.0435909	1.0000000	0.0628923	0.8620288	0.4373824	0.1565917	0.0219755	0.0000049
