YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C
0.7969603	0.5332611	0.4404689	0.8717073	0.4870831	0.9302803	0.2293131	0.5871808	0.8632666	0.9390511
0.8305204	0.5608477	0.3640940	0.6407406	0.5698409	0.7927351	0.3597796	0.5035351	0.9389934	0.8903927
0.3973251	0.3156929	0.3382142	0.5897458	0.5592980	0.9526465	0.1390402	0.5756419	1.0348829	1.0499519
0.9639295	0.4741658	0.4165843	0.7320856	0.4318296	0.8564958	0.3882914	0.5365374	1.0615701	1.0448151
0.8456263	0.4408504	0.5837979	0.6830954	0.4270180	0.8750836	0.3104764	0.4998167	0.9793372	0.8485698
0.9102929	0.5878306	0.5150100	0.6510855	0.5128763	0.9032455	0.3121473	0.4592869	0.8308418	0.9227578
0.1436985	0.2626521	0.5062785	0.8287938	0.2779965	0.5755928	0.5783585	0.3757841	0.3562248	0.2914030
0.8788857	0.7172513	0.3685532	0.5541581	0.6636559	0.9207074	0.3597029	0.3811748	0.8997819	0.9714310
0.7933874	0.6529410	0.2608143	0.4336759	0.3133244	0.5054838	0.2626827	0.5267632	0.8765594	0.8804001
0.8176272	0.6056899	0.5238829	0.4653262	0.3324969	0.5393821	0.2762887	0.4627820	0.8043902	0.8003861
