YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C
0.0288749	0.0261309	0.2807378	0.1586438	0.4587712	0.4264674	0.4467281	0.7716823	0.3882203	0.7959963
0.0586337	0.0285964	0.3477858	0.2001856	0.4114130	0.4917615	0.6029379	0.7704407	0.2863228	0.8233548
0.1386008	0.0178965	0.1434005	0.2060245	0.4453358	0.5549684	0.4134497	0.7231840	0.2505556	0.6764387
0.0815624	0.0407461	0.3530530	0.0949292	0.4806529	0.3805432	0.4685221	0.6374281	0.1750745	0.8841037
0.0579198	0.0275475	0.1236751	0.3867448	0.1969826	0.4883340	0.5237407	0.8555777	0.1533076	0.8497219
0.1125876	0.2324616	0.3542960	0.2076006	0.3119255	0.2026026	0.4448130	0.7373259	0.3259202	0.7445217
0.3408564	0.2202216	0.4175284	0.3166988	0.2249806	0.0999086	0.2229947	0.9520209	0.2450439	0.7904991
0.0975588	0.2352595	0.4749661	0.1122368	0.4214823	0.0880899	0.2676623	0.4083881	0.3607337	0.6472989
0.1242911	0.0275233	0.2569232	0.1086661	0.4276466	0.5448310	0.4932600	0.7106323	0.1070270	0.7535044
0.0699923	0.0500421	0.2518236	0.2416386	0.6767850	0.5262452	0.5019137	0.9175964	0.4201597	0.4510253
