YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C
0.1520770	0.6601748	0.4197627	0.1186351	0.1908246	0.3904337	1.1573877	0.2729168	0.2760484	0.7350848
1.0220968	0.2728677	0.5167038	0.1607634	0.2157818	0.4534394	0.9550774	0.3032208	0.8739811	0.2194979
0.2846318	0.9153787	0.1052458	0.2338095	0.2651325	0.4656479	0.9199300	0.1723687	0.4581679	0.5348593
0.7546485	0.3431017	0.7297649	0.0885065	0.2190390	0.4913902	0.9836294	0.3017102	0.9344550	0.2410825
0.7358992	0.3319253	0.8959046	0.0453531	0.0957696	0.4813827	0.7352567	0.7205074	0.9475693	0.3068115
0.7392862	0.3283309	0.9932866	0.0331888	0.1415523	0.3248817	0.5910306	0.5817445	0.7998252	0.2883598
0.2347235	1.0831867	0.0623756	0.5776621	0.4107299	0.6889537	0.5515111	0.0887679	0.8998905	0.3168828
0.4464189	0.6645748	0.4429619	0.1909585	0.2880687	0.5162493	0.9639489	0.0812578	0.7837255	0.4201606
0.7038640	0.4295368	0.4523327	0.2434181	0.2297505	0.4823682	1.0168189	0.1845715	0.4213463	0.3269714
0.3496665	0.6487465	0.4369455	0.1195420	0.1845102	0.5009558	0.8801897	0.3040323	0.8856897	0.2662641
