YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C
0.0000030	0.5399013	0.8151231	0.7408354	0.1331234	0.0653237	0.2552648	1.0000000	0.4951122	1.0000000
0.0266608	0.0000000	0.7431984	0.4592423	0.1244715	0.0612251	0.2553048	0.9999247	0.4840765	1.0000000
0.0266815	0.0052375	0.0000002	0.4669250	0.0525917	0.0082504	0.2553086	0.9999243	0.4191223	1.0000000
0.9881671	0.4865659	0.6950368	0.0000042	0.2685243	0.1203172	0.3211147	0.8944247	0.6830514	1.0000000
0.9936609	0.5377465	0.8097261	0.7499103	0.0000033	0.1375469	0.3215218	0.8938473	0.4075031	1.0000000
0.9936006	0.5372782	0.8089953	0.7479776	0.0507161	0.0000023	0.3215153	0.8938551	0.4182414	1.0000000
0.9936126	0.5373430	0.8090456	0.7479765	0.0526187	0.0082519	0.0000013	0.8938534	0.4191871	1.0000000
0.0278414	0.0852449	0.1207329	0.4758324	0.0538571	0.0108805	1.0000000	0.0000000	0.4197669	1.0000000
0.9932327	0.5316083	0.7945749	0.6940184	0.3085601	0.1357897	0.3214979	0.8938883	0.0000008	1.0000000
0.9736377	0.4280820	0.5837443	0.4568610	0.8019031	0.4698269	0.7398141	0.5127416	0.6201722	0.0000001
