YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C
0.0787583	0.7830091	0.8912222	1.1115507	1.0637890	1.0152612	0.0592225	0.9540576	1.0326497	1.1114145
0.2865529	0.3584458	0.9588918	1.0817328	1.0688309	1.0240145	0.0706686	1.0756276	1.0245394	0.9877796
0.1805120	0.5613121	0.4808536	0.9382966	1.0172181	1.0611699	0.0525606	1.0337179	0.9853549	1.0128779
0.1293222	0.7300525	1.0475983	0.5870215	1.0419001	1.1064041	0.0536785	1.0243385	0.9790453	0.9783055
0.1005301	0.7240605	0.9839294	1.0541862	0.4610798	0.9909679	0.0744678	1.0069501	1.0865694	1.0509188
0.1461239	0.7617755	0.9292109	1.0274815	1.0568839	0.4466688	0.0760752	1.0110822	0.9325990	1.0316425
0.1314682	0.7341346	1.0735853	0.9844788	0.9789622	1.0868930	0.0255206	0.9516417	1.0107651	1.0236026
0.1470504	0.7481726	1.0751997	0.9438312	0.9120877	1.0854381	0.2192843	0.4801549	1.0876911	0.9431231
0.1352942	0.7300397	1.0277077	1.0604681	0.8997197	0.9395282	0.0815992	1.0042205	0.4930171	1.0041182
0.1606888	0.7743163	1.0389197	1.1096673	1.0423777	0.9352611	0.0573378	1.0160579	0.9886362	0.4769368
