YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W
0.0000000	0.5277469	0.9040020	0.8955367	0.9000652	0.5281368	0.9905735	0.7454767	0.5167268	0.7063964
0.0802096	0.0000000	0.8681399	0.8321986	0.9223245	0.5669461	0.9365246	0.5782072	0.4102054	0.7125343
0.6546251	0.9538674	0.0000000	0.8172993	0.8498955	0.5390305	0.9632033	0.6435220	0.4408549	0.8235103
0.4345319	0.5369913	0.7125604	0.0000000	0.5643065	1.0791774	0.6538019	0.5788478	0.6099889	0.7259409
0.4545413	0.5618790	0.9189573	0.7959168	0.0000000	0.6182171	0.9880032	0.8281903	0.6498843	0.4301474
0.4222344	0.5534511	0.9214132	1.0637696	1.0294165	0.0000000	1.0465674	0.6854193	0.4584686	0.8469342
0.6698286	0.9764750	0.0204778	0.9951012	0.9561473	0.0660546	0.0000000	0.5843784	0.4923807	0.7225078
0.4177881	0.6334607	0.6963550	0.8819738	0.8300288	0.5570171	0.4976915	0.0000000	0.5627736	0.6737841
0.0774126	0.0268550	0.7986765	0.8402545	0.8481498	0.6190407	0.6780582	0.0467717	0.0000000	0.9089263
0.0760894	0.0922404	0.7278522	0.7913152	0.9588454	0.4772190	0.5998809	0.0268248	0.0983263	0.0000000
