YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W
0.3476486	0.7468006	0.2387256	0.0515576	0.7675032	0.5044620	0.4879074	0.4568750	0.5422768	0.0411042
0.7080399	0.2814437	0.2259189	0.0601063	0.7647764	0.6270714	0.4387444	0.4206103	0.5712251	0.0810095
0.7314794	0.7004015	0.1967929	0.1039128	0.8376309	0.5628504	0.5097110	0.5382282	0.4789291	0.0797527
0.7300746	0.7266349	0.0824316	0.0812464	0.8548674	0.6932782	0.5549091	0.5474731	0.5830715	0.0304156
0.8315381	0.7216341	0.2978173	0.1039391	0.3624312	0.5337964	0.4884590	0.5801498	0.4418350	0.0915163
0.8079505	0.7646902	0.2948271	0.0391184	0.7661623	0.2799538	0.4959356	0.6259185	0.4879296	0.0430862
0.7725333	0.7367630	0.3967717	0.0636353	0.8886397	0.8163425	0.2607901	0.4933540	0.4462833	0.0545543
0.7918649	0.7312493	0.1992339	0.0568678	0.7177431	0.7387759	0.4422752	0.2573183	0.5760323	0.0544640
0.6934729	0.7872928	0.2378698	0.0910491	0.9097521	0.3839071	0.5617390	0.7598748	0.2198932	0.0416670
0.6838323	0.7179027	0.2599676	0.1049175	0.8114114	0.6079585	0.3773529	0.5564763	0.4255281	0.0219428
