YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W
0.0000000	0.0043048	0.8594317	0.4674745	0.7880564	0.9998989	0.0927159	0.3861343	0.6402757	0.4171031
0.1099693	0.0000000	0.8593155	0.4676172	0.7878853	0.9998989	0.0927138	0.3863040	0.6400950	0.4170672
0.9954031	1.0000000	0.0000003	0.3381541	0.9664309	0.9998890	0.0942661	0.3023698	0.9009316	1.0000000
0.1123159	0.0036360	0.9999999	0.0000000	0.7698455	0.9999002	0.0925063	0.4158621	0.5730253	0.3579516
0.9949131	0.9503184	0.1107669	1.0000000	0.0000000	0.9998894	0.0941979	0.3043956	0.8929122	0.9547803
0.1132508	0.0043040	0.8595494	0.4674043	0.7881103	0.0000001	0.0927167	0.3861053	0.6402548	0.4170534
0.1132513	0.0043046	0.8594740	0.4674463	0.7880804	1.0000000	0.0000020	0.3861176	0.6402766	0.4170887
0.1124032	0.0037029	0.9792642	0.3183770	0.9999999	0.0342603	0.9999977	0.0000000	0.5830190	0.3659324
0.5273080	0.0672684	0.3648259	0.7364935	0.5112482	0.9999034	0.0919920	1.0000000	0.0000000	0.7429076
0.5199666	0.0643663	0.3741760	0.7276320	0.5211953	0.9999034	0.0919935	0.9668338	0.0259954	0.0000000
