YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C
0.0000004	0.7329704	0.9979979	0.9970853	1.0000000	1.0000000	0.0591004	1.0000000	1.0000000	1.0000000
0.4410093	0.0000000	0.0652278	0.9970861	1.0000000	1.0000000	0.0591004	1.0000000	1.0000000	1.0000000
0.4388425	0.0547088	0.0000008	0.9970861	1.0000000	1.0000000	0.0591004	1.0000000	1.0000000	1.0000000
0.4103199	0.1714866	0.0652162	0.0000081	1.0000000	1.0000000	0.0591004	1.0000000	1.0000000	1.0000000
0.4103033	0.1714982	0.0652167	0.0069934	0.0000000	1.0000000	0.0591004	1.0000000	1.0000000	1.0000000
0.5929845	0.7329705	0.9979980	0.9970861	1.0000000	0.0000031	0.0591004	1.0000000	1.0000000	1.0000000
0.1306285	0.7329705	0.9979980	0.9970859	1.0000000	1.0000000	0.0000013	1.0000000	1.0000000	1.0000000
0.1306285	0.7329705	0.9979980	0.9970861	1.0000000	1.0000000	0.9999984	0.0000019	1.0000000	1.0000000
0.1306285	0.7329705	0.9979980	0.9970860	1.0000000	1.0000000	0.0591004	1.0000000	0.0000005	1.0000000
0.1306285	0.7329705	0.9979980	0.9970861	1.0000000	1.0000000	0.0591004	1.0000000	1.0000000	0.0000036
