YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C
0.1745537	0.2480668	0.0300770	0.0704999	0.9594878	0.5398825	0.4702309	0.5562019	0.9176651	0.9836121
0.3386232	0.0920806	0.0424412	0.0612437	0.9519891	0.6491570	0.4617331	0.5814303	0.9314191	0.9762942
0.2588773	0.2371477	0.0283493	0.0592082	1.0145663	0.5782163	0.6303452	0.5656964	0.9167953	1.0711851
0.3388113	0.2338634	0.0222657	0.0378752	0.9698217	0.7442427	0.5611050	0.5366917	0.9224481	1.0460063
0.3028554	0.2503906	0.0654925	0.0626608	0.6014294	0.6968003	0.5123240	0.5517769	1.0121239	1.0027292
0.2992706	0.2841774	0.0795838	0.0830055	1.0260350	0.2566771	0.4335276	0.5541271	0.9138066	1.0369013
0.3732083	0.2472448	0.0796919	0.0620020	0.6390056	0.2016365	0.1798590	0.5346031	1.0022463	0.9988716
0.5294422	0.4647697	0.6709509	1.0753073	0.0363838	0.0642319	0.0995297	0.2027243	0.9639530	1.1360709
0.5938287	0.5060022	0.7253965	1.0994286	0.0228808	0.0562758	0.0721085	0.2575900	0.4590050	1.1056480
0.2732111	0.2339413	0.0363193	0.0501163	0.9650669	0.7855461	0.5692175	0.4844801	1.0509163	0.4841350
