"Time"	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W

0	0.8362583	0.2185557	0.4105380	0.5864133	0.4423739	1.0961662	0.9962814	0.4564024	1.0415322	1.0313242
50	0.6254338	0.2773961	0.4552608	0.4063051	0.3874506	0.9400163	0.5838133	0.4423305	0.9517328	1.0194099
100	0.5015552	0.3962648	0.5361775	0.4488876	0.4191564	0.9836577	0.3051288	0.3477669	1.0668330	0.8702101
150	0.4436535	0.6702967	0.5168539	0.4398212	0.3998914	0.9983796	0.1785491	0.3726715	0.9985514	0.8281597
200	0.3819801	0.8262232	0.5832495	0.4511229	0.4883953	0.9776866	0.1303709	0.3482039	0.9641647	0.8704785
250	0.2840765	0.9045122	0.4378781	0.5011052	0.4771147	0.9567715	0.1425154	0.2760098	0.9196714	0.9215992
300	0.3784102	0.9371349	0.4602985	0.4613357	0.4765318	0.8968613	0.1158095	0.2989009	1.0092875	0.8809078
350	0.3321249	0.9263482	0.4255745	0.5651367	0.5020938	0.9751504	0.1167713	0.3136507	1.0919984	0.9398532
400	0.3671279	0.9379848	0.3324101	0.5056904	0.4505626	1.0563980	0.1014924	0.2897230	0.9978362	0.8741703
450	0.4635592	0.8610299	0.4527103	0.4944841	0.4710803	1.1889466	0.1130262	0.3174528	0.9288313	0.9160673
500	0.3902216	0.8616676	0.4289810	0.5401435	0.4581663	0.9748846	0.1263180	0.3702506	0.9236610	0.9349555
550	0.5279495	0.8641408	0.3880481	0.4880617	0.4964533	0.9838833	0.5132890	0.3747572	0.9482050	0.9438419
600	0.6641016	0.6914380	0.4517021	0.4292140	0.4603533	1.1099414	0.8235863	0.4297919	0.9842436	0.9139937
650	0.6806532	0.4018763	0.5493175	0.4231616	0.3845670	0.9858568	0.9201679	0.4428000	0.9584275	1.0050562
700	0.7481344	0.3413060	0.5438462	0.4679362	0.3745764	0.8373739	0.9375363	0.4939332	1.0371209	1.0080638
750	0.8412841	0.2950196	0.5019927	0.4825032	0.4485198	0.8892793	0.8930648	0.4743246	0.9800801	0.9674329
800	0.8478487	0.2969645	0.5068955	0.5003790	0.5238870	1.0149037	0.9856285	0.4408949	0.9841317	0.9884170
850	0.7058161	0.2506510	0.4470927	0.5566638	0.5447609	1.0616729	1.0029506	0.5051806	0.9307421	1.0367937
900	0.7521984	0.2357797	0.3323805	0.4863165	0.5407037	1.1069401	0.9781136	0.4739302	1.0258490	0.9668249
950	0.6385512	0.2184892	0.4438993	0.4409717	0.4379235	1.0134595	0.9954223	0.4824896	1.0214990	0.9974785
1000	0.6135800	0.2081492	0.4413943	0.4700031	0.3623395	1.0082406	0.9656806	0.4812969	0.8962864	1.0553231

0	0.8362583	0.2185557	0.4105380	0.5864133	0.4423739	1.0961662	0.9962814	0.4564024	1.0415322	1.0313242
50	0.7142840	0.2266615	0.5457701	0.4524482	0.4832594	1.0337216	0.9237334	0.5264297	0.9166708	1.0581362
100	0.6806799	0.2405926	0.5395888	0.4996309	0.4963418	1.0585776	0.9744884	0.5517905	0.9564822	0.9649545
150	0.6640443	0.2422812	0.6226957	0.6016463	0.5031302	1.0794103	1.0136714	0.5488865	0.8695873	0.9834086
200	0.6372574	0.2394890	0.4610083	0.6396702	0.3936916	0.9491059	1.0286699	0.5559520	0.9521828	0.9283056
250	0.6895428	0.1981403	0.3339067	0.4955826	0.4033904	0.9306267	1.0265164	0.4857835	0.9457805	1.0190425
300	0.7354651	0.1810367	0.3510215	0.3701702	0.5410027	0.9900555	0.9844706	0.5148044	0.9832682	0.9895824
350	0.8409217	0.2291094	0.4843062	0.4104127	0.4889221	1.0320495	1.1021947	0.5158191	1.0190655	1.0549981
400	0.8438196	0.2528262	0.5527334	0.4578476	0.4051922	0.9797678	0.9985972	0.5186377	1.0001195	0.9679301
450	0.7827891	0.3034491	0.5183950	0.5149571	0.4748951	0.9354109	1.0520249	0.4980233	1.0183078	0.9781818
500	0.6757004	0.2498770	0.4135187	0.5612314	0.5122715	0.8898441	1.0977379	0.4909942	1.0258258	0.9933905
550	0.7329234	0.2200890	0.4509660	0.4733466	0.5123173	0.9692541	1.0159008	0.5718291	1.0668594	0.9630981
600	0.7046042	0.2126740	0.4069951	0.4910349	0.4849160	1.0083924	1.0264545	0.5431132	1.1018847	1.0527515
650	0.7140650	0.2581701	0.4861165	0.5031580	0.4278095	1.0110753	0.9773440	0.4356972	1.1034656	0.9409362
700	0.7079011	0.2976096	0.5422324	0.5056023	0.4692585	0.9812244	1.0645282	0.4104300	1.0532037	1.0127453
750	0.7266923	0.3223456	0.5523701	0.5442277	0.4537597	0.9626423	1.0658434	0.4863709	0.9723865	0.9949248
800	0.6815156	0.2775143	0.4667064	0.4912272	0.4306474	0.9228796	1.1254850	0.5238395	1.0389524	0.9339922
850	0.6509376	0.3046650	0.4513857	0.4905806	0.4162173	1.0180963	1.1325788	0.4877909	0.9733486	0.9411425
900	0.7906208	0.2801985	0.4704534	0.5153512	0.4270525	1.1185882	1.0742373	0.4680217	1.0211298	0.8879891
950	0.8053888	0.2307043	0.4843004	0.4788173	0.4463055	1.0801996	0.9315051	0.5008140	0.8852283	1.0562842
1000	0.9224347	0.2328261	0.5258167	0.4934327	0.4293091	0.9430835	1.0144542	0.5191676	0.9947371	0.9594455

