YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C
0.6961492	0.1456704	0.0044002	0.7563791	0.6809961	0.3048970	0.8895525	0.9999999	0.9556200	0.8505780
0.3074295	0.4974441	0.0000001	0.8607523	0.6867966	0.4645512	0.8740557	0.9216094	0.9038773	1.0000000
0.7139780	0.0000011	0.0044003	0.7426594	0.7329954	0.2203324	0.7942470	0.7439852	0.9950650	0.8070358
0.4507518	0.2606062	0.0044009	0.5829626	0.6729951	0.5251671	0.8869580	0.9873775	0.9061273	1.0000000
0.2829059	0.2685633	0.0044001	0.8580626	0.7347917	0.0000302	0.0436829	0.2077778	0.8213608	0.6783941
0.5080277	0.0158700	0.0044001	0.9286642	0.9725123	0.3817667	0.9353199	0.9433863	0.9139436	1.0000000
0.9999919	0.0000011	0.0044001	1.0000000	0.9999148	0.9409535	0.8098253	0.7513609	0.9980275	0.8718965
0.4878254	0.3005794	0.0000000	1.0000000	0.8918127	0.3285388	0.8895521	1.0000000	0.9979349	1.0000000
0.7763004	0.0000010	0.0000001	0.7810282	0.9914217	0.3764885	0.8895525	1.0000000	0.9065734	1.0000000
0.8452458	0.0000010	0.0000001	0.8894416	0.9998872	0.4383469	0.9442523	1.0000000	0.9139590	0.8982231
