YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C
0.0000000	0.2485805	0.0875446	0.7286529	0.1009712	0.1703228	0.0151170	0.0772253	0.0729013	0.6925483
0.7764226	0.0000000	0.3597687	0.1280397	0.6085932	0.7390091	0.1155493	0.3419773	0.0424891	0.8125506
0.9033640	0.0861569	0.0000000	0.1365612	0.8966647	0.6294787	0.0799822	0.4720369	0.0909161	0.7867420
0.6607195	0.1419694	0.3758641	0.0000000	0.7190833	0.6463869	0.1228344	0.4485518	0.0595370	0.7791280
0.5794210	0.1012254	0.4373461	0.7514556	0.0000000	0.7463270	0.3632969	0.0625767	0.0532086	0.6319183
0.5315687	0.5635131	0.1621061	0.5832625	0.0836205	0.0000000	0.4223674	0.0704569	0.0732278	0.7856097
0.6727585	0.3524846	0.0466864	0.7184485	0.0372858	0.0853374	0.0000000	0.0237985	0.0647918	0.6357922
0.8169528	0.0987459	0.4030070	0.1852014	0.8701808	0.7769674	0.4669008	0.0000000	0.0359297	0.5885143
0.7526584	0.1457453	0.2780788	0.2121674	0.6785326	0.5407327	0.0732665	0.4330989	0.0000000	0.6212222
0.6495221	0.1459047	0.4502657	0.2010014	0.6512427	0.6918780	0.2978280	0.0640017	0.8086733	0.0000000
