YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C
0.5053894	0.5434119	0.8176664	0.6937748	0.2565267	0.1142396	0.3328632	0.9885060	0.7186201	1.0590748
0.6051077	0.2376223	0.7862312	0.5338513	0.4264492	0.1540282	0.2528195	0.9466892	0.7699152	1.0162986
0.9237821	0.2809678	0.2950972	0.6453227	0.1807942	0.0600532	0.3221067	1.0013861	0.5931103	1.0251222
0.9954796	0.4945353	0.7268316	0.4323530	0.2101706	0.0590439	0.3017374	0.9545735	0.6571465	1.1504520
0.9597666	0.5993586	0.7788476	0.7257924	0.1567984	0.1035360	0.2765240	0.8968669	0.4325286	1.0208303
1.0471332	0.5723544	0.7405769	0.7169589	0.2046045	0.0960919	0.3738143	0.8928035	0.5491031	1.0559906
0.9263536	0.5466887	0.9105681	0.6513928	0.0844538	0.0358502	0.1993732	0.8687834	0.4799834	0.9704459
0.9085945	0.4642870	0.5105362	0.3929888	0.8004786	0.4269470	0.9230496	0.4662443	0.9376688	1.0466075
0.9183367	0.5426709	0.8222459	0.6253886	0.4858746	0.1481843	0.2998622	0.9575283	0.4969951	1.1315573
1.0655279	0.5326212	0.6652061	0.5363942	0.7552619	0.4760504	0.6461999	0.6235915	0.7590904	0.5016413
