YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C
0.0000000	0.8151780	0.9951483	1.0329869	0.0619551	0.4482024	0.8754771	0.1060464	0.2535917	0.4475565
1.0826287	0.0000000	1.0617201	0.1525576	0.6495786	0.7160347	0.3262795	0.5291647	0.8579673	0.0881107
0.9178294	0.6602627	0.0000000	0.9383252	0.0446004	0.4361383	0.9843551	0.0259945	0.0044924	0.5638675
0.9788106	0.6974828	1.0752567	0.0000000	0.0803973	0.4580646	0.9201731	0.1309527	0.1959939	0.5386758
1.0223993	0.5855273	1.0293064	1.0215399	0.0000000	0.5850582	0.9063536	0.1910445	0.3022846	0.4890225
1.0113065	0.7261572	0.9382925	1.0152368	0.1209210	0.0000000	0.8771270	0.1309696	0.2499268	0.5413372
0.9444929	0.9805543	1.0018559	1.0267985	0.0751035	1.0164122	0.0000000	0.1202732	0.2570924	0.0449012
0.9808931	0.6245467	1.1294834	1.0407182	0.0340850	0.4440076	0.9430335	0.0000000	0.2286443	0.5898320
1.0253976	0.6239573	0.0380694	0.9947024	0.0246044	0.4287636	1.0050108	0.0341118	0.0000000	0.5940379
1.0571974	0.9680892	0.9377679	1.0924128	0.1217553	0.4921814	0.8226347	0.1770741	0.2381311	0.0000000
