YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C
0.3051154	0.6845239	0.7497548	0.0682453	0.5353832	0.8184557	0.9111537	0.0065429	0.2180747	0.7699671
0.4730318	0.3334269	0.7703679	0.0509384	0.9549772	0.6981150	0.8613110	0.0108345	0.1745465	0.8612738
0.5371714	0.4932460	0.4273857	0.0505384	0.6443903	0.8523050	0.5556216	0.0241500	0.1368988	0.7222679
0.6555971	0.4688625	0.6725073	0.0264641	0.7790446	0.7780040	0.7971671	0.0331977	0.1924178	0.7575370
0.6506747	0.4717735	0.6601084	0.0548220	0.2795624	0.7942777	0.6594681	0.0287953	0.2343054	0.8124316
0.6347678	0.5071725	0.8339271	0.0257294	0.7558782	0.3718006	0.7181149	0.0163847	0.1159467	0.7250480
0.6379715	0.4884182	0.7894588	0.0468385	0.6341925	0.6772091	0.3752138	0.0252387	0.1304350	0.7745526
0.6010477	0.4932457	0.9110160	0.0829702	0.5979496	0.8317519	0.8110451	0.0099828	0.1648268	0.6089644
0.7341424	0.4217413	0.8647311	0.0335116	0.7537024	0.8203251	0.7890242	0.0068473	0.1014884	0.8414781
0.6632048	0.5597000	0.7517859	0.0451441	0.8472963	0.7971081	0.8061373	0.0076681	0.0820787	0.3829211
