YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C
0.1952343	0.1687443	0.7985564	0.5103584	0.4792393	0.8508933	0.7017170	0.9808157	0.0701856	0.9458777
0.4413138	0.1412504	0.9134548	0.2829962	0.4118716	0.3700168	0.5536679	1.1084560	0.0747086	1.0646728
0.5353351	0.2015179	0.5217517	0.2537649	0.5233526	0.5528862	0.5516438	0.9359504	0.0862298	0.9006405
0.3064095	0.1210815	0.9954583	0.2468898	0.3316993	0.3516377	0.4581680	1.0716890	0.0711995	1.0132610
0.1154140	0.0582614	0.6243707	0.7924925	0.2492947	0.9385893	0.8381185	0.9489111	0.0863987	1.0520855
0.2050179	0.0626933	0.7733573	0.6771544	0.2496959	0.4396040	0.9678253	1.1734651	0.0847664	0.9650581
0.1057836	0.0705677	0.6347591	0.8392465	0.2231914	0.3235543	0.5336000	0.9986495	0.0728352	0.9579100
0.4019761	0.1407332	0.9968111	0.3763038	0.3407297	0.3086298	0.3937402	0.4877116	0.1063659	0.9480816
0.2722753	0.1118426	0.8453620	0.5425582	0.3057100	0.6360381	0.7459611	1.1141046	0.0401066	1.0483411
0.3966705	0.1760709	1.0099448	0.3344063	0.2969832	0.5075888	0.5089269	0.9473001	0.1288967	0.5422379
