YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W
0.1024596	0.3649504	0.4871181	0.9145279	0.4588259	0.6652844	0.0249155	0.1449583	0.0584410	0.7645147
0.4779931	0.1950510	0.5121195	0.8129405	0.4267083	0.6677955	0.0900172	0.1762253	0.0913082	0.7057588
0.1179135	0.6154078	0.2273401	0.6916081	0.4714657	0.8118711	0.0234182	0.1018726	0.0210701	0.6807967
0.0594358	0.6868961	0.3216780	0.3732790	0.4948790	0.6828733	0.0402278	0.0852479	0.0217283	0.6203934
0.1727605	0.3232783	0.5686737	0.7313336	0.2898277	0.7465048	0.0311696	0.0421620	0.0595713	0.7304095
0.2157363	0.2837629	0.4821018	0.7563265	0.2137265	0.3304863	0.0498443	0.0892191	0.0111315	0.7274175
0.1377964	0.3810815	0.6393235	0.8021559	0.4183494	0.7876067	0.0232362	0.0960552	0.0211151	0.6286372
0.1560243	0.3411390	0.7367707	0.7531651	0.4107735	0.7780461	0.0115745	0.0263334	0.0471113	0.7703629
0.0969881	0.3041149	0.5627311	0.6604619	0.5590055	0.8715585	0.0163708	0.0730823	0.0171521	0.7671267
0.1873545	0.3375521	0.5429242	0.6983073	0.3505390	0.5252204	0.1505047	0.2119581	0.1055863	0.3070736
