YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C
0.2944823	0.4874819	0.3467776	0.2254427	0.1718110	0.2261479	0.2320343	0.5301978	0.5550943	0.8491446
0.7000352	0.3516466	0.1428947	0.1820581	0.1037799	0.2506151	0.4161932	0.3204623	0.6654966	0.7478216
0.3491496	0.7356092	0.1750218	0.1570983	0.1733023	0.2407608	0.2060129	0.4368651	0.7566611	0.7971230
0.4362818	0.7720957	0.1714799	0.0683716	0.1710474	0.3334458	0.2219639	0.5851057	0.6468419	0.8190732
0.3494623	0.6936586	0.1259282	0.1053468	0.0766145	0.2190493	0.1967399	0.4253125	0.7369508	0.8012952
0.4487487	0.6777048	0.1866066	0.0955892	0.0245981	0.1052895	0.2918484	0.2917038	0.6618101	0.8568127
0.5633611	0.5015243	0.1889694	0.0892472	0.1328342	0.1669784	0.1652849	0.5096131	0.5783142	0.7256855
0.6164617	0.5665068	0.2431292	0.1132425	0.1214231	0.2985299	0.5386252	0.1498460	0.6686349	0.8201324
0.7489690	0.2122768	0.5360163	0.3035060	0.2097827	0.3045231	0.3021918	0.2110444	0.2874089	0.6388302
0.7502344	0.1937402	0.4077511	0.0871333	0.1206600	0.2163501	0.3375263	0.3220043	0.5290585	0.4036969
